code;city;code_region;code_variable;variable;level;code_level;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
4100400;Almirante Tamandaré;9;1;IDEB;Fundamental anos finais;2;;3,3;;3,5;;3,7;;4;;4,7
4100400;Almirante Tamandaré;9;1;IDEB;Ensino médio;3;;;;;;;;3,3;;4,1
4100400;Almirante Tamandaré;9;2;IDEB meta projetada;Fundamental anos iniciais;1;;4,6;;4,9;;5,2;;5,5;;5,7
4100400;Almirante Tamandaré;9;2;IDEB meta projetada;Fundamental anos finais;2;;3,3;;3,7;;4,1;;4,4;;4,7
4100400;Almirante Tamandaré;9;2;IDEB meta projetada;Ensino médio;3;;;;;;;;;;3,5
4100400;Almirante Tamandaré;9;3;Taxa de aprovação (em %);Fundamental anos iniciais;1;84,7;86,3;85,5;87,5;87,5;86,5;87,5;88;91,7;90,4
4100400;Almirante Tamandaré;9;3;Taxa de aprovação (em %);Fundamental anos finais;2;71,1;71,4;75,4;77,4;77,7;78,8;79,5;80,9;82,6;88,2
4100400;Almirante Tamandaré;9;3;Taxa de aprovação (em %);Ensino médio;3;67,7;70,4;72,4;73,1;66,1;71,6;72,3;73,3;73;83,8
4100400;Almirante Tamandaré;9;4;Taxa de reprovação (em %);Fundamental anos iniciais;1;14,1;12,9;13,7;11,8;11,8;13;12,1;11,8;8,2;9,5
4100400;Almirante Tamandaré;9;4;Taxa de reprovação (em %);Fundamental anos finais;2;19,3;19;17,6;15,3;14,8;14,5;14,5;14,7;13,8;10,1
4100400;Almirante Tamandaré;9;4;Taxa de reprovação (em %);Ensino médio;3;20,8;16,3;17,7;18,8;16,1;14,6;14;15;13,8;12,4
4100400;Almirante Tamandaré;9;6;Taxa de abandono (em %);Fundamental anos iniciais;1;1,2;0,8;0,8;0,7;0,7;0,5;0,4;0,2;0,1;0,1
4100400;Almirante Tamandaré;9;6;Taxa de abandono (em %);Fundamental anos finais;2;9,6;9,6;7;7,3;7,5;6,7;6;4,4;3,6;1,7
4100400;Almirante Tamandaré;9;6;Taxa de abandono (em %);Ensino médio;3;11,5;13,3;9,9;8,1;17,8;13,8;13,7;11,7;13,2;3,8
4100400;Almirante Tamandaré;9;5;Taxa de distorção (em %);Fundamental anos iniciais;1;18;18,9;18,3;19,6;17,6;16,8;15,5;16,1;14,8;13,7
4100400;Almirante Tamandaré;9;5;Taxa de distorção (em %);Fundamental anos finais;2;33,8;32,3;32,4;32,9;33,2;34;32,8;33,4;32;29,3
4100400;Almirante Tamandaré;9;5;Taxa de distorção (em %);Ensino médio;3;34,9;34,3;32,7;31,6;30,6;33,1;33,5;35,5;39,7;33,5
4100459;Altamira do Paraná;5;1;IDEB;Fundamental anos iniciais;1;;4,6;;5;;5,4;;4,9;;5,9
4100459;Altamira do Paraná;5;1;IDEB;Fundamental anos finais;2;;3,9;;3,8;;3,5;;3,9;;4,7
4100459;Altamira do Paraná;5;1;IDEB;Ensino médio;3;;;;;;;;3,2;;
4100459;Altamira do Paraná;5;2;IDEB meta projetada;Fundamental anos iniciais;1;;4,6;;4,9;;5,2;;5,5;;5,7
4100459;Altamira do Paraná;5;2;IDEB meta projetada;Fundamental anos finais;2;;3,4;;3,8;;4,1;;4,4;;4,7
4100459;Altamira do Paraná;5;2;IDEB meta projetada;Ensino médio;3;;;;;;;;;;3,5
4100459;Altamira do Paraná;5;3;Taxa de aprovação (em %);Fundamental anos iniciais;1;86,5;91,5;92,5;95,3;93,3;95,5;95,7;92;92,7;94,3
4100459;Altamira do Paraná;5;3;Taxa de aprovação (em %);Fundamental anos finais;2;84,4;92,8;94,1;93,2;94,9;89,6;94,6;91,5;91,5;92,8
4100459;Altamira do Paraná;5;3;Taxa de aprovação (em %);Ensino médio;3;83,6;87,7;88,4;87,2;81,1;81,2;87,4;85,6;90,4;95,8
4100459;Altamira do Paraná;5;4;Taxa de reprovação (em %);Fundamental anos iniciais;1;13,5;8,5;7,5;4,7;6,7;4,5;4,3;8;7,3;5,7
4100459;Altamira do Paraná;5;4;Taxa de reprovação (em %);Fundamental anos finais;2;10,4;5,2;2,6;4,5;4,3;9,2;5,4;7;7,3;6,4
4100459;Altamira do Paraná;5;4;Taxa de reprovação (em %);Ensino médio;3;7,5;4;3,7;6,6;8,3;12,2;7,1;4;4,8;3
4100459;Altamira do Paraná;5;6;Taxa de abandono (em %);Fundamental anos iniciais;1;;;;;;;;;;
4100459;Altamira do Paraná;5;6;Taxa de abandono (em %);Fundamental anos finais;2;5,2;2;3,3;2,3;0,8;1,2;;1,5;1,2;0,8
4100459;Altamira do Paraná;5;6;Taxa de abandono (em %);Ensino médio;3;8,9;8,3;7,9;6,2;10,6;6,6;5,5;10,4;4,8;1,2
4100459;Altamira do Paraná;5;5;Taxa de distorção (em %);Fundamental anos iniciais;1;13,8;14,6;12,7;12,2;9,6;9,5;8,4;6,8;5,9;4,2
4100459;Altamira do Paraná;5;5;Taxa de distorção (em %);Fundamental anos finais;2;27,7;21,9;20,8;19,3;16,4;20;15,5;15,2;18,4;16,7
4100459;Altamira do Paraná;5;5;Taxa de distorção (em %);Ensino médio;3;29,5;29,4;34,5;31,4;27,9;20,3;24,1;24,9;18,6;11,1
4128625;Alto Paraíso;4;1;IDEB;Fundamental anos iniciais;1;;4,7;;5,2;;6,2;;6,6;;6
4128625;Alto Paraíso;4;1;IDEB;Fundamental anos finais;2;;3,7;;3,8;;4,3;;4,2;;5
4128625;Alto Paraíso;4;1;IDEB;Ensino médio;3;;;;;;;;2,4;;3,6
4128625;Alto Paraíso;4;2;IDEB meta projetada;Fundamental anos iniciais;1;;4,8;;5,1;;5,4;;5,6;;5,9
4128625;Alto Paraíso;4;2;IDEB meta projetada;Fundamental anos finais;2;;3,8;;4,2;;4,6;;4,8;;5,1
4128625;Alto Paraíso;4;2;IDEB meta projetada;Ensino médio;3;;;;;;;;;;2,6
4128625;Alto Paraíso;4;3;Taxa de aprovação (em %);Fundamental anos iniciais;1;96,6;93,6;96,3;93,9;92,5;97,7;95,2;93,5;93,8;94,1
4128625;Alto Paraíso;4;3;Taxa de aprovação (em %);Fundamental anos finais;2;91,4;83,6;89,4;87,6;90,4;89,8;91,4;91,9;89,8;98,4
4128625;Alto Paraíso;4;3;Taxa de aprovação (em %);Ensino médio;3;82,5;65,8;76,3;64,9;68,2;74,6;82;66,9;70,6;86,2
4128625;Alto Paraíso;4;4;Taxa de reprovação (em %);Fundamental anos iniciais;1;3,1;6,4;3,7;6,1;7,1;1,9;4,8;6,1;6,2;5,5
4128625;Alto Paraíso;4;4;Taxa de reprovação (em %);Fundamental anos finais;2;2,5;16;10,6;8,8;6,6;3,9;8,1;5,5;7,9;1,6
4128625;Alto Paraíso;4;4;Taxa de reprovação (em %);Ensino médio;3;7,7;34,2;23,7;22,3;9,5;4,2;17,3;8,1;10,3;12,8
4128625;Alto Paraíso;4;6;Taxa de abandono (em %);Fundamental anos iniciais;1;0,3;;;;0,4;0,4;;0,4;;0,4
4128625;Alto Paraíso;4;6;Taxa de abandono (em %);Fundamental anos finais;2;6,1;0,4;;3,6;3;6,3;0,5;2,6;2,3;
4128625;Alto Paraíso;4;6;Taxa de abandono (em %);Ensino médio;3;9,8;;;12,8;22,3;21,2;0,7;25;19,1;1
4128625;Alto Paraíso;4;5;Taxa de distorção (em %);Fundamental anos iniciais;1;16,6;14,4;19,3;18,8;15,7;16,7;14,2;13,9;15,1;10
4128625;Alto Paraíso;4;5;Taxa de distorção (em %);Fundamental anos finais;2;30,3;29,3;28;29,2;30,7;31,3;28,1;27,7;23,7;19,4
4128625;Alto Paraíso;4;5;Taxa de distorção (em %);Ensino médio;3;29,1;34,2;37,1;34,2;37,3;35;28,2;33,3;34,1;21,3
4100608;Alto Paraná;3;1;IDEB;Fundamental anos iniciais;1;;5,5;;5,3;;5,9;;5,6;;6
4100608;Alto Paraná;3;1;IDEB;Fundamental anos finais;2;;4,4;;4,4;;4,6;;4,3;;5
4100608;Alto Paraná;3;1;IDEB;Ensino médio;3;;;;;;;;3,2;;4,3
4100608;Alto Paraná;3;2;IDEB meta projetada;Fundamental anos iniciais;1;;5,4;;5,7;;5,9;;6,2;;6,4
4100608;Alto Paraná;3;2;IDEB meta projetada;Fundamental anos finais;2;;3,7;;4,1;;4,5;;4,8;;5
4100608;Alto Paraná;3;2;IDEB meta projetada;Ensino médio;3;;;;;;;;;;3,5
4100608;Alto Paraná;3;3;Taxa de aprovação (em %);Fundamental anos iniciais;1;91,3;90,2;91,4;89,3;91,6;91,5;93;93,5;91;92,4
4100608;Alto Paraná;3;3;Taxa de aprovação (em %);Fundamental anos finais;2;90,3;88,1;82,8;87,6;87,9;85,6;85,7;79,8;82,7;89,3
4100608;Alto Paraná;3;3;Taxa de aprovação (em %);Ensino médio;3;80,6;83,1;71;69,5;74,9;75,2;76,8;75,9;79,5;94,7
4100608;Alto Paraná;3;4;Taxa de reprovação (em %);Fundamental anos iniciais;1;8,7;9,7;8,3;10,3;8,3;8,5;7;6,5;9;7,6
4100608;Alto Paraná;3;4;Taxa de reprovação (em %);Fundamental anos finais;2;7,3;9,4;13,8;8,7;9,2;12,5;12,3;16,6;15;10,1
4100608;Alto Paraná;3;4;Taxa de reprovação (em %);Ensino médio;3;10,4;7,4;11,9;16;9;16,5;10,2;7,8;8;2
4100608;Alto Paraná;3;6;Taxa de abandono (em %);Fundamental anos iniciais;1;;0,1;0,3;0,4;0,1;;;;;
4100608;Alto Paraná;3;6;Taxa de abandono (em %);Fundamental anos finais;2;2,4;2,5;3,4;3,7;2,9;1,9;2;3,6;2,3;0,6
4100608;Alto Paraná;3;6;Taxa de abandono (em %);Ensino médio;3;9;9,5;17,1;14,5;16,1;8,3;13;16,3;12,5;3,3
4100608;Alto Paraná;3;5;Taxa de distorção (em %);Fundamental anos iniciais;1;8,9;12,3;12,5;10,4;10,1;10,6;11,5;11,3;10,6;12,3
4100608;Alto Paraná;3;5;Taxa de distorção (em %);Fundamental anos finais;2;19;18,3;18,3;22,2;19,2;20,1;20,6;21,9;23,6;24,6
4100608;Alto Paraná;3;5;Taxa de distorção (em %);Ensino médio;3;26,2;24,2;22,9;25,3;25,5;23,3;26,4;32,6;31,5;24,9
4100707;Alto Piquiri;4;1;IDEB;Fundamental anos iniciais;1;;4,5;;4,9;;5,5;;5,5;;5,7
4100707;Alto Piquiri;4;1;IDEB;Fundamental anos finais;2;;3,9;;3,7;;4;;4,3;;5,4
4100707;Alto Piquiri;4;1;IDEB;Ensino médio;3;;;;;;;;3,5;;4,5
4100707;Alto Piquiri;4;2;IDEB meta projetada;Fundamental anos iniciais;1;;5;;5,2;;5,5;;5,8;;6
4100707;Alto Piquiri;4;2;IDEB meta projetada;Fundamental anos finais;2;;4,2;;4,6;;5;;5,3;;5,5
4100707;Alto Piquiri;4;2;IDEB meta projetada;Ensino médio;3;;;;;;;;;;3,7
4100707;Alto Piquiri;4;3;Taxa de aprovação (em %);Fundamental anos iniciais;1;97,6;95,4;93,7;90,9;94,1;92,9;93,1;93;91,9;93,6
4100707;Alto Piquiri;4;3;Taxa de aprovação (em %);Fundamental anos finais;2;91,5;83,1;82,7;83,1;88,1;83,9;91,2;87,5;92,6;97,8
4100707;Alto Piquiri;4;3;Taxa de aprovação (em %);Ensino médio;3;91,6;84,8;82,6;83,9;75,5;82;88;90,7;83,3;96,9
4100707;Alto Piquiri;4;4;Taxa de reprovação (em %);Fundamental anos iniciais;1;2,4;4,6;6,3;9,1;5,9;7,1;6,9;7;8,1;6,4
4100707;Alto Piquiri;4;4;Taxa de reprovação (em %);Fundamental anos finais;2;6,2;15,4;15,8;14,7;7;10,9;7,6;12,3;6,8;1,6
4100707;Alto Piquiri;4;4;Taxa de reprovação (em %);Ensino médio;3;6,7;8,4;12,1;7,8;15,2;10,7;5,6;4;11;2,3
4100707;Alto Piquiri;4;6;Taxa de abandono (em %);Fundamental anos iniciais;1;;;;;;;;;;
4100707;Alto Piquiri;4;6;Taxa de abandono (em %);Fundamental anos finais;2;2,3;1,5;1,5;2,2;4,9;5,2;1,2;0,2;0,6;0,6
4100707;Alto Piquiri;4;6;Taxa de abandono (em %);Ensino médio;3;1,7;6,8;5,3;8,3;9,3;7,3;6,4;5,3;5,7;0,8
4100707;Alto Piquiri;4;5;Taxa de distorção (em %);Fundamental anos iniciais;1;7,1;6,3;5,7;8,5;9,5;8,8;7,9;7,8;7,6;8,4
4100707;Alto Piquiri;4;5;Taxa de distorção (em %);Fundamental anos finais;2;26,8;21,8;18,7;19;19,7;21,8;20,1;20,1;19;18,1
4100707;Alto Piquiri;4;5;Taxa de distorção (em %);Ensino médio;3;18,7;17,6;17,8;18,4;15,7;18,8;19,4;21,2;27,2;21,8
4100509;Altônia;4;1;IDEB;Fundamental anos iniciais;1;;5,3;;5,8;;6,1;;6,9;;6,8
4100509;Altônia;4;1;IDEB;Fundamental anos finais;2;;4,7;;4,6;;4,6;;5,1;;5,5
4100509;Altônia;4;1;IDEB;Ensino médio;3;;;;;;;;3,7;;4,5
4100509;Altônia;4;2;IDEB meta projetada;Fundamental anos iniciais;1;;4,5;;4,8;;5,1;;5,3;;5,6
4100509;Altônia;4;2;IDEB meta projetada;Fundamental anos finais;2;;4,5;;4,8;;5,2;;5,5;;5,7
4100509;Altônia;4;2;IDEB meta projetada;Ensino médio;3;;;;;;;;;;3,9
4100509;Altônia;4;3;Taxa de aprovação (em %);Fundamental anos iniciais;1;97;96;98,6;96,9;97,5;96,2;97,3;97;96,3;96,7
4100509;Altônia;4;3;Taxa de aprovação (em %);Fundamental anos finais;2;93,8;95;93,9;94,9;94,5;96,2;98,6;96,9;95,7;97,8
4100509;Altônia;4;3;Taxa de aprovação (em %);Ensino médio;3;95,5;92,6;90,9;84;83,5;84,8;86,4;85,1;87,9;94
4100509;Altônia;4;4;Taxa de reprovação (em %);Fundamental anos iniciais;1;2,9;4;1,4;3,1;2,5;3,8;2,7;3;3,7;3,3
4100509;Altônia;4;4;Taxa de reprovação (em %);Fundamental anos finais;2;4,3;4;5,7;4;4,5;1,7;1,3;2,5;3,5;1,7
4100509;Altônia;4;4;Taxa de reprovação (em %);Ensino médio;3;4,3;7,4;3,5;7,2;8,6;5,2;5;5,1;3,6;2,4
4100509;Altônia;4;6;Taxa de abandono (em %);Fundamental anos iniciais;1;0,1;;;;;;;;;
4100509;Altônia;4;6;Taxa de abandono (em %);Fundamental anos finais;2;1,9;1;0,4;1,1;1;2,1;0,1;0,6;0,8;0,5
4100509;Altônia;4;6;Taxa de abandono (em %);Ensino médio;3;0,2;;5,6;8,8;7,9;10;8,6;9,8;8,5;3,6
4100509;Altônia;4;5;Taxa de distorção (em %);Fundamental anos iniciais;1;4,4;3,4;3,2;3,2;3,7;4,9;5,7;6,2;6,9;7,1
4100509;Altônia;4;5;Taxa de distorção (em %);Fundamental anos finais;2;11,9;10,5;9,3;9,6;8;8,3;8,4;6,9;8,5;10,2
4100509;Altônia;4;5;Taxa de distorção (em %);Ensino médio;3;13,2;12,5;14,7;13,3;18,5;19;17,6;16,9;17,6;11,6
4100806;Alvorada do Sul;11;1;IDEB;Fundamental anos iniciais;1;;4,7;;5,3;;5,3;;5,3;;5,5
4100806;Alvorada do Sul;11;1;IDEB;Fundamental anos finais;2;;3,8;;3,7;;3,7;;4;;5
4100806;Alvorada do Sul;11;1;IDEB;Ensino médio;3;;;;;;;;3,4;;4,3
4100806;Alvorada do Sul;11;2;IDEB meta projetada;Fundamental anos iniciais;1;;5;;5,3;;5,5;;5,8;;6,1
4100806;Alvorada do Sul;11;2;IDEB meta projetada;Fundamental anos finais;2;;4,3;;4,7;;5,1;;5,3;;5,6
4100806;Alvorada do Sul;11;2;IDEB meta projetada;Ensino médio;3;;;;;;;;;;3,6
4100806;Alvorada do Sul;11;3;Taxa de aprovação (em %);Fundamental anos iniciais;1;93,3;93,5;97,7;94,2;97,9;98,5;97,4;93,2;90,3;87,1
4100806;Alvorada do Sul;11;3;Taxa de aprovação (em %);Fundamental anos finais;2;81,7;83;75,3;77,2;73,2;81,4;71,2;80,7;87,9;95,9
4100806;Alvorada do Sul;11;3;Taxa de aprovação (em %);Ensino médio;3;82,9;81,4;81,7;90,6;91,3;82,6;77,8;89;80,1;96,4
4100806;Alvorada do Sul;11;4;Taxa de reprovação (em %);Fundamental anos iniciais;1;6,5;6,5;2,3;5,8;2,1;1,5;2,4;6,8;9,7;12,9
4100806;Alvorada do Sul;11;4;Taxa de reprovação (em %);Fundamental anos finais;2;12,7;9,3;17,1;12,4;18,6;6;23,5;19,3;12,1;2,4
4100806;Alvorada do Sul;11;4;Taxa de reprovação (em %);Ensino médio;3;8,9;17,6;18,3;8,1;7,6;4,4;9,8;11;19,9;0,4
4100806;Alvorada do Sul;11;6;Taxa de abandono (em %);Fundamental anos iniciais;1;0,2;;;;;;0,2;;;
4100806;Alvorada do Sul;11;6;Taxa de abandono (em %);Fundamental anos finais;2;5,6;7,7;7,6;10,4;8,2;12,6;5,3;;;1,7
4100806;Alvorada do Sul;11;6;Taxa de abandono (em %);Ensino médio;3;8,2;1;;1,3;1,1;13;12,4;;;3,2
4100806;Alvorada do Sul;11;5;Taxa de distorção (em %);Fundamental anos iniciais;1;5,9;2,8;3,3;5,2;6,7;6,9;5,7;4,6;6,4;9,9
4100806;Alvorada do Sul;11;5;Taxa de distorção (em %);Fundamental anos finais;2;25,6;23,6;22,1;24,6;24,3;27,2;21,6;25,9;26,4;22,2
4100806;Alvorada do Sul;11;5;Taxa de distorção (em %);Ensino médio;3;20,2;19,4;22,6;18,1;16,5;23,3;30,4;27,5;30,4;26,3
4100905;Amaporã;3;1;IDEB;Fundamental anos iniciais;1;;4,8;;4,4;;5;;5,2;;6,1
4100905;Amaporã;3;1;IDEB;Fundamental anos finais;2;;3,3;;3,5;;4;;4,4;;4,5
4100905;Amaporã;3;1;IDEB;Ensino médio;3;;;;;;;;2,3;;
4100905;Amaporã;3;2;IDEB meta projetada;Fundamental anos iniciais;1;;4,4;;4,7;;5;;5,2;;5,5
4100905;Amaporã;3;2;IDEB meta projetada;Fundamental anos finais;2;;4,1;;4,5;;4,9;;5,2;;5,4
4100905;Amaporã;3;2;IDEB meta projetada;Ensino médio;3;;;;;;;;;;2,6
4100905;Amaporã;3;3;Taxa de aprovação (em %);Fundamental anos iniciais;1;93,2;88,2;94,3;87,9;89,3;87,4;89,9;85,2;81,7;92,3
4100905;Amaporã;3;3;Taxa de aprovação (em %);Fundamental anos finais;2;80,6;82;83,6;83,1;88,5;91,5;84,5;89;89,6;91,3
4100905;Amaporã;3;3;Taxa de aprovação (em %);Ensino médio;3;71,5;75,5;78,7;83,3;77,4;79,8;74;61,3;67;87,5
4100905;Amaporã;3;4;Taxa de reprovação (em %);Fundamental anos iniciais;1;6,4;11,8;5,7;11,5;10,7;12,6;10,1;14,6;18,3;7,7
4100905;Amaporã;3;4;Taxa de reprovação (em %);Fundamental anos finais;2;11,3;12;12;7,2;8,8;4,4;9,5;5,5;8;8,7
4100905;Amaporã;3;4;Taxa de reprovação (em %);Ensino médio;3;17,6;14,3;13,4;3;6,3;2,1;6,7;6,6;16,7;12,5
4100905;Amaporã;3;6;Taxa de abandono (em %);Fundamental anos iniciais;1;0,4;;;0,6;;;;0,2;;
4100905;Amaporã;3;6;Taxa de abandono (em %);Fundamental anos finais;2;8,1;6;4,4;9,7;2,7;4,1;6;5,5;2,4;
4100905;Amaporã;3;6;Taxa de abandono (em %);Ensino médio;3;10,9;10,2;7,9;13,7;16,3;18,1;19,3;32,1;16,3;
4100905;Amaporã;3;5;Taxa de distorção (em %);Fundamental anos iniciais;1;9,7;9,6;9;10,8;11;9,8;10,4;13,1;15,8;17,7
4100905;Amaporã;3;5;Taxa de distorção (em %);Fundamental anos finais;2;31,8;32,9;27;27,2;28;22,1;18;21,6;21;21,6
4100905;Amaporã;3;5;Taxa de distorção (em %);Ensino médio;3;30,1;32,3;30,8;33,9;30,5;36,9;35,1;38,4;37;28,9
4101002;Ampére;15;1;IDEB;Fundamental anos iniciais;1;;5,6;;6,2;;6,1;;6,7;;6,7
4101002;Ampére;15;1;IDEB;Fundamental anos finais;2;;4,4;;4,7;;4,8;;5,2;;5,7
