"","city_code7","city_IPARDES","year","population"
"377","4127304","Terra Rica","1990",14211
"378","4127403","Terra Roxa","1990",20350
"379","4127502","Tibagi","1990",22547
"380","4127601","Tijucas do Sul","1990",10005
"381","4127700","Toledo","1990",92606
"382","4127809","Tomazina","1990",12309
"383","4127858","Três Barras do Paraná","1990",15507
"384","4127882","Tunas do Paraná","1990",NA
"385","4127908","Tuneiras do Oeste","1990",11542
"386","4127957","Tupãssi","1990",8954
"387","4127965","Turvo","1990",14057
"388","4128005","Ubiratã","1990",26877
"389","4128104","Umuarama","1990",100278
"390","4128203","União da Vitória","1990",43578
"391","4128302","Uniflor","1990",2703
"392","4128401","Uraí","1990",13366
"393","4128534","Ventania","1990",NA
"394","4128559","Vera Cruz do Oeste","1990",11623
"395","4128609","Verê","1990",10415
"396","4128658","Virmond","1990",NA
"397","4128708","Vitorino","1990",6512
"398","4128500","Wenceslau Braz","1990",18831
"399",NA,"Xambrê","1990",9101
"400","4100103","Abatiá","1991",10180
"401","4100202","Adrianópolis","1991",9147
"402","4100301","Agudos do Sul","1991",5990
"403","4100400","Almirante Tamandaré","1991",63015
"404","4100459","Altamira do Paraná","1991",7761
"405","4128625","Alto Paraíso","1991",NA
"406","4100608","Alto Paraná","1991",12175
"407","4100707","Alto Piquiri","1991",17764
"408","4100509","Altônia","1991",25306
"409","4100806","Alvorada do Sul","1991",9968
"410","4100905","Amaporã","1991",3879
"411","4101002","Ampére","1991",13450
"412","4101051","Anahy","1991",NA
"413","4101101","Andirá","1991",19393
"414","4101150","Ângulo","1991",NA
"415","4101200","Antonina","1991",16995
"416","4101309","Antônio Olinto","1991",7640
"417","4101408","Apucarana","1991",93607
"418","4101507","Arapongas","1991",63584
"419","4101606","Arapoti","1991",20259
"420","4101655","Arapuã","1991",NA
"421","4101705","Araruna","1991",12567
"422","4101804","Araucária","1991",59226
"423","4101853","Ariranha do Ivaí","1991",NA
"424","4101903","Assaí","1991",20499
"425","4102000","Assis Chateaubriand","1991",40208
"426","4102109","Astorga","1991",22283
"427","4102208","Atalaia","1991",4188
"428","4102307","Balsa Nova","1991",7296
"429","4102406","Bandeirantes","1991",34254
"430","4102505","Barbosa Ferraz","1991",19242
"431","4102703","Barra do Jacaré","1991",3233
"432","4102604","Barracão","1991",15031
"433","4102752","Bela Vista da Caroba","1991",NA
"434","4102802","Bela Vista do Paraíso","1991",15088
"435","4102901","Bituruna","1991",12740
"436","4103008","Boa Esperança","1991",7105
"437","4103024","Boa Esperança do Iguaçu","1991",NA
"438","4103040","Boa Ventura de São Roque","1991",NA
"439","4103057","Boa Vista da Aparecida","1991",10413
"440","4103107","Bocaiúva do Sul","1991",10801
"441","4103156","Bom Jesus do Sul","1991",NA
"442","4103206","Bom Sucesso","1991",7341
"443","4103222","Bom Sucesso do Sul","1991",NA
"444","4103305","Borrazópolis","1991",11873
"445","4103354","Braganey","1991",8261
"446","4103370","Brasilândia do Sul","1991",NA
"447","4103404","Cafeara","1991",2472
"448","4103453","Cafelândia","1991",7909
"449","4103479","Cafezal do Sul","1991",NA
"450","4103503","Califórnia","1991",7403
"451","4103602","Cambará","1991",21343
"452","4103701","Cambé","1991",71878
"453","4103800","Cambira","1991",10012
"454","4103909","Campina da Lagoa","1991",20762
"455","4103958","Campina do Simão","1991",NA
"456","4104006","Campina Grande do Sul","1991",18405
"457","4104055","Campo Bonito","1991",5128
"458","4104105","Campo do Tenente","1991",5106
"459","4104204","Campo Largo","1991",70785
"460","4104253","Campo Magro","1991",NA
"461","4104303","Campo Mourão","1991",80315
"462","4104402","Cândido de Abreu","1991",21300
"463","4104428","Candói","1991",NA
"464","4104451","Cantagalo","1991",24916
"465","4104501","Capanema","1991",19999
"466","4104600","Capitão Leônidas Marques","1991",19040
"467","4104659","Carambeí","1991",NA
"468","4104709","Carlópolis","1991",12472
"469","4104808","Cascavel","1991",187851
"470","4104907","Castro","1991",62658
"471","4105003","Catanduvas","1991",10064
"472","4105102","Centenário do Sul","1991",14477
"473","4105201","Cerro Azul","1991",20968
"474","4105300","Céu Azul","1991",10676
"475","4105409","Chopinzinho","1991",24846
"476","4105508","Cianorte","1991",49743
"477","4105607","Cidade Gaúcha","1991",8449
"478","4105706","Clevelândia","1991",17932
"479","4105805","Colombo","1991",112372
"480","4105904","Colorado","1991",18784
"481","4106001","Congonhinhas","1991",7826
"482","4106100","Conselheiro Mairinck","1991",3513
"483","4106209","Contenda","1991",8805
"484","4106308","Corbélia","1991",23115
"485","4106407","Cornélio Procópio","1991",46245
"486","4106456","Coronel Domingos Soares","1991",NA
"487","4106506","Coronel Vivida","1991",25318
"488","4106555","Corumbataí do Sul","1991",6883
"489","4106803","Cruz Machado","1991",16428
"490","4106571","Cruzeiro do Iguaçu","1991",NA
"491","4106605","Cruzeiro do Oeste","1991",24016
"492","4106704","Cruzeiro do Sul","1991",5075
"493","4106852","Cruzmaltina","1991",NA
"494","4106902","Curitiba","1991",1286527
"495","4107009","Curiúva","1991",10484
"496","4107108","Diamante do Norte","1991",7682
"497","4107124","Diamante do Sul","1991",NA
"498","4107157","Diamante D'Oeste","1991",9589
"499","4107207","Dois Vizinhos","1991",40484
"500","4107256","Douradina","1991",7106
"501","4107306","Doutor Camargo","1991",6009
"502","4128633","Doutor Ulysses","1991",NA
"503","4107405","Enéas Marques","1991",12581
"504","4107504","Engenheiro Beltrão","1991",14765
"505","4107538","Entre Rios do Oeste","1991",NA
"506","4107520","Esperança Nova","1991",NA
"507","4107546","Espigão Alto do Iguaçu","1991",NA
"508","4107553","Farol","1991",NA
"509","4107603","Faxinal","1991",20478
"510","4107652","Fazenda Rio Grande","1991",NA
"511","4107702","Fênix","1991",6127
"512","4107736","Fernandes Pinheiro","1991",NA
"513","4107751","Figueira","1991",9561
"514","4107850","Flor da Serra do Sul","1991",NA
"515","4107801","Floraí","1991",5612
"516","4107900","Floresta","1991",4504
"517","4108007","Florestópolis","1991",12013
"518","4108106","Flórida","1991",2085
"519","4108205","Formosa do Oeste","1991",15631
"520","4108304","Foz do Iguaçu","1991",183701
"521","4108452","Foz do Jordão","1991",NA
"522","4108320","Francisco Alves","1991",9747
"523","4108403","Francisco Beltrão","1991",60042
"524","4108502","General Carneiro","1991",11060
"525","4108551","Godoy Moreira","1991",5914
"526","4108601","Goioerê","1991",45490
"527","4108650","Goioxim","1991",NA
"528","4108700","Grandes Rios","1991",12687
"529","4108809","Guaíra","1991",29918
"530","4108908","Guairaçá","1991",5708
"531","4108957","Guamiranga","1991",NA
"532","4109005","Guapirama","1991",3743
"533","4109104","Guaporema","1991",2330
"534","4109203","Guaraci","1991",5562
"535","4109302","Guaraniaçu","1991",26277
"536","4109401","Guarapuava","1991",156304
"537","4109500","Guaraqueçaba","1991",7751
"538","4109609","Guaratuba","1991",17426
"539","4109658","Honório Serpa","1991",NA
"540","4109708","Ibaiti","1991",26267
"541","4109757","Ibema","1991",5871
"542","4109807","Ibiporã","1991",34426
"543","4109906","Icaraíma","1991",12405
"544","4110003","Iguaraçu","1991",5773
"545","4110052","Iguatu","1991",NA
"546","4110078","Imbaú","1991",NA
"547","4110102","Imbituva","1991",25264
"548","4110201","Inácio Martins","1991",13450
"549","4110300","Inajá","1991",2646
"550","4110409","Indianópolis","1991",6971
"551","4110508","Ipiranga","1991",12344
"552","4110607","Iporã","1991",27166
"553","4110656","Iracema do Oeste","1991",NA
"554","4110706","Irati","1991",47302
"555","4110805","Iretama","1991",16432
"556","4110904","Itaguajé","1991",5071
"557","4110953","Itaipulândia","1991",NA
"558","4111001","Itambaracá","1991",9613
"559","4111100","Itambé","1991",6207
"560","4111209","Itapejara d'Oeste","1991",9149
"561","4111258","Itaperuçu","1991",NA
"562","4111308","Itaúna do Sul","1991",4513
"563","4111407","Ivaí","1991",11361
"564","4111506","Ivaiporã","1991",47262
"565","4111555","Ivaté","1991",NA
"566","4111605","Ivatuba","1991",2512
"567","4111704","Jaboti","1991",4455
"568","4111803","Jacarezinho","1991",40668
"569","4111902","Jaguapitã","1991",10749
"570","4112009","Jaguariaíva","1991",24182
"571","4112108","Jandaia do Sul","1991",18493
"572","4112207","Janiópolis","1991",10922
"573","4112306","Japira","1991",4926
"574","4112405","Japurá","1991",8349
"575","4112504","Jardim Alegre","1991",21251
"576","4112603","Jardim Olinda","1991",1395
"577","4112702","Jataizinho","1991",10342
"578","4112751","Jesuítas","1991",13189
"579","4112801","Joaquim Távora","1991",9925
"580","4112900","Jundiaí do Sul","1991",4339
"581","4112959","Juranda","1991",8832
"582","4113007","Jussara","1991",6014
"583","4113106","Kaloré","1991",6745
"584","4113205","Lapa","1991",39646
"585","4113254","Laranjal","1991",NA
"586","4113304","Laranjeiras do Sul","1991",54960
"587","4113403","Leópolis","1991",4802
"588","4113429","Lidianópolis","1991",NA
"589","4113452","Lindoeste","1991",7267
"590","4113502","Loanda","1991",17924
"591","4113601","Lobato","1991",3727
"592","4113700","Londrina","1991",381412
"593","4113734","Luiziana","1991",9831
"594","4113759","Lunardelli","1991",7908
"595","4113809","Lupionópolis","1991",4522
"596","4113908","Mallet","1991",11635
"597","4114005","Mamborê","1991",15978
"598","4114104","Mandaguaçu","1991",14631
"599","4114203","Mandaguari","1991",27731
"600","4114302","Mandirituba","1991",36087
"601","4114351","Manfrinópolis","1991",NA
"602","4114401","Mangueirinha","1991",25167
"603","4114500","Manoel Ribas","1991",12370
"604","4114609","Marechal Cândido Rondon","1991",50096
"605","4114708","Maria Helena","1991",8888
"606","4114807","Marialva","1991",22422
"607","4114906","Marilândia do Sul","1991",13779
"608","4115002","Marilena","1991",6749
"609","4115101","Mariluz","1991",11289
"610","4115200","Maringá","1991",233210
"611","4115309","Mariópolis","1991",6272
"612","4115358","Maripá","1991",NA
"613","4115408","Marmeleiro","1991",16844
"614","4115457","Marquinho","1991",NA
"615","4115507","Marumbi","1991",5176
"616","4115606","Matelândia","1991",17802
"617","4115705","Matinhos","1991",10769
"618","4115739","Mato Rico","1991",NA
"619","4115754","Mauá da Serra","1991",NA
"620","4115804","Medianeira","1991",38436
"621","4115853","Mercedes","1991",NA
"622","4115903","Mirador","1991",2305
"623","4116000","Miraselva","1991",5386
"624","4116059","Missal","1991",10590
"625","4116109","Moreira Sales","1991",17194
"626","4116208","Morretes","1991",13145
"627","4116307","Munhoz de Melo","1991",3753
"628","4116406","Nossa Senhora das Graças","1991",3557
"629","4116505","Nova Aliança do Ivaí","1991",1193
"630","4116604","Nova América da Colina","1991",4141
"631","4116703","Nova Aurora","1991",15779
"632","4116802","Nova Cantu","1991",11313
"633","4116901","Nova Esperança","1991",24165
"634","4116950","Nova Esperança do Sudoeste","1991",NA
"635","4117008","Nova Fátima","1991",8367
"636","4117057","Nova Laranjeiras","1991",NA
"637","4117107","Nova Londrina","1991",12781
"638","4117206","Nova Olímpia","1991",5482
"639","4117255","Nova Prata do Iguaçu","1991",12142
"640","4117214","Nova Santa Bárbara","1991",NA
"641","4117222","Nova Santa Rosa","1991",7028
"642","4117271","Nova Tebas","1991",17869
"643","4117297","Novo Itacolomi","1991",NA
"644","4117305","Ortigueira","1991",29726
"645","4117404","Ourizona","1991",3861
"646","4117453","Ouro Verde do Oeste","1991",6497
"647","4117503","Paiçandu","1991",21190
"648","4117602","Palmas","1991",34831
"649","4117701","Palmeira","1991",28573
"650","4117800","Palmital","1991",24220
"651","4117909","Palotina","1991",30463
"652","4118006","Paraíso do Norte","1991",8773
"653","4118105","Paranacity","1991",8508
"654","4118204","Paranaguá","1991",105149
"655","4118303","Paranapoema","1991",2426
"656","4118402","Paranavaí","1991",70486
"657","4118451","Pato Bragado","1991",NA
"658","4118501","Pato Branco","1991",54718
"659","4118600","Paula Freitas","1991",4651
"660","4118709","Paulo Frontin","1991",6441
"661","4118808","Peabiru","1991",14437
"662","4118857","Perobal","1991",NA
"663","4118907","Pérola","1991",15684
"664","4119004","Pérola d'Oeste","1991",12685
