"","Localidade","Variável","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"24","Altamira do Paraná","Profissionais de Saúde - Dentistas",1,1,1,1,1,1,1,2,2,2,2
"25","Altamira do Paraná","Profissionais de Saúde - Farmacêuticos",2,2,2,NA,NA,NA,NA,NA,NA,1,2
"26","Alto Paraíso","Profissionais de Saúde - Total",9,9,7,5,8,9,7,10,10,9,7
"27","Alto Paraíso","Profissionais de Saúde - Médicos",2,1,1,1,2,3,2,1,2,2,1
"28","Alto Paraíso","Profissionais de Saúde - Enfermeiros",2,2,2,2,4,4,4,5,4,4,4
"29","Alto Paraíso","Profissionais de Saúde - Dentistas",3,4,3,2,2,2,1,2,3,2,1
"30","Alto Paraíso","Profissionais de Saúde - Farmacêuticos",2,2,1,NA,NA,NA,NA,2,1,1,1
"31","Alto Paraná","Profissionais de Saúde - Total",21,19,19,16,16,17,19,20,21,24,27
"32","Alto Paraná","Profissionais de Saúde - Médicos",4,4,5,4,5,4,7,7,7,8,11
"33","Alto Paraná","Profissionais de Saúde - Enfermeiros",5,5,5,5,5,4,4,5,6,7,7
"34","Alto Paraná","Profissionais de Saúde - Dentistas",9,8,7,6,5,8,7,7,7,8,8
"35","Alto Paraná","Profissionais de Saúde - Farmacêuticos",3,2,2,1,1,1,1,1,1,1,1
"36","Alto Piquiri","Profissionais de Saúde - Total",15,18,16,16,21,19,20,22,26,30,52
"37","Alto Piquiri","Profissionais de Saúde - Médicos",2,4,4,5,8,6,6,7,6,11,27
"38","Alto Piquiri","Profissionais de Saúde - Enfermeiros",6,6,5,5,6,6,7,7,8,7,13
"39","Alto Piquiri","Profissionais de Saúde - Dentistas",4,5,5,5,6,6,5,6,10,10,10
"40","Alto Piquiri","Profissionais de Saúde - Farmacêuticos",3,3,2,1,1,1,2,2,2,2,2
"41","Altônia","Profissionais de Saúde - Total",37,38,40,39,42,42,48,52,48,52,50
"42","Altônia","Profissionais de Saúde - Médicos",12,12,14,13,13,13,16,17,14,18,15
"43","Altônia","Profissionais de Saúde - Enfermeiros",10,11,10,11,13,14,14,17,16,15,16
"44","Altônia","Profissionais de Saúde - Dentistas",12,12,12,12,12,12,12,12,12,13,13
"45","Altônia","Profissionais de Saúde - Farmacêuticos",3,3,4,3,4,3,6,6,6,6,5
"46","Alvorada do Sul","Profissionais de Saúde - Total",21,22,27,23,24,24,32,32,29,34,33
"47","Alvorada do Sul","Profissionais de Saúde - Médicos",4,5,8,7,6,6,12,11,7,10,9
"48","Alvorada do Sul","Profissionais de Saúde - Enfermeiros",7,7,9,8,10,10,12,12,13,14,15
"49","Alvorada do Sul","Profissionais de Saúde - Dentistas",7,7,7,6,6,6,6,7,7,7,7
"50","Alvorada do Sul","Profissionais de Saúde - Farmacêuticos",3,3,3,2,2,2,2,2,2,3,2
"51","Amaporã","Profissionais de Saúde - Total",7,9,13,14,12,11,16,15,14,17,17
"52","Amaporã","Profissionais de Saúde - Médicos",1,2,5,5,6,2,7,6,5,7,6
"53","Amaporã","Profissionais de Saúde - Enfermeiros",4,5,6,7,4,6,6,6,6,7,7
"54","Amaporã","Profissionais de Saúde - Dentistas",2,2,2,2,2,3,3,3,3,3,3
"55","Amaporã","Profissionais de Saúde - Farmacêuticos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"56","Ampére","Profissionais de Saúde - Total",36,32,33,38,39,39,41,46,36,43,49
"57","Ampére","Profissionais de Saúde - Médicos",15,12,14,18,19,18,18,19,12,17,20
"58","Ampére","Profissionais de Saúde - Enfermeiros",8,8,6,10,10,12,13,16,13,15,17
"59","Ampére","Profissionais de Saúde - Dentistas",8,8,8,8,8,7,8,8,7,7,8
"60","Ampére","Profissionais de Saúde - Farmacêuticos",5,4,5,2,2,2,2,3,4,4,4
"61","Anahy","Profissionais de Saúde - Total",7,6,5,5,8,9,8,10,8,7,7
"62","Anahy","Profissionais de Saúde - Médicos",2,2,2,2,5,4,3,4,4,1,1
"63","Anahy","Profissionais de Saúde - Enfermeiros",2,1,1,1,1,2,2,3,3,4,3
"64","Anahy","Profissionais de Saúde - Dentistas",1,1,NA,1,1,2,2,2,1,1,2
"65","Anahy","Profissionais de Saúde - Farmacêuticos",2,2,2,1,1,1,1,1,NA,1,1
"66","Andirá","Profissionais de Saúde - Total",56,54,58,59,59,55,51,56,66,61,77
"67","Andirá","Profissionais de Saúde - Médicos",22,20,24,25,28,24,22,26,32,30,36
"68","Andirá","Profissionais de Saúde - Enfermeiros",10,11,11,15,13,12,10,11,14,11,18
"69","Andirá","Profissionais de Saúde - Dentistas",17,16,16,17,16,17,17,17,17,17,18
"70","Andirá","Profissionais de Saúde - Farmacêuticos",7,7,7,2,2,2,2,2,3,3,5
"71","Ângulo","Profissionais de Saúde - Total",9,9,10,12,16,15,13,13,14,16,19
"72","Ângulo","Profissionais de Saúde - Médicos",1,1,2,3,4,3,2,1,1,2,5
"73","Ângulo","Profissionais de Saúde - Enfermeiros",4,4,4,5,8,8,7,8,8,9,9
"74","Ângulo","Profissionais de Saúde - Dentistas",2,2,2,2,2,2,2,2,3,3,3
"75","Ângulo","Profissionais de Saúde - Farmacêuticos",2,2,2,2,2,2,2,2,2,2,2
"76","Antonina","Profissionais de Saúde - Total",32,32,36,35,32,37,33,53,50,45,51
"77","Antonina","Profissionais de Saúde - Médicos",17,13,15,18,16,21,19,32,31,24,24
"78","Antonina","Profissionais de Saúde - Enfermeiros",3,5,6,7,7,5,4,9,9,10,15
"79","Antonina","Profissionais de Saúde - Dentistas",7,9,10,10,9,9,8,10,8,8,7
"80","Antonina","Profissionais de Saúde - Farmacêuticos",5,5,5,NA,NA,2,2,2,2,3,3
"81","Antônio Olinto","Profissionais de Saúde - Total",13,14,15,15,14,12,15,15,21,20,22
"82","Antônio Olinto","Profissionais de Saúde - Médicos",4,4,5,5,3,4,4,3,8,7,10
"83","Antônio Olinto","Profissionais de Saúde - Enfermeiros",4,5,6,6,7,5,7,6,6,7,6
"84","Antônio Olinto","Profissionais de Saúde - Dentistas",4,4,3,3,3,2,3,3,4,3,3
"85","Antônio Olinto","Profissionais de Saúde - Farmacêuticos",1,1,1,1,1,1,1,3,3,3,3
"86","Apucarana","Profissionais de Saúde - Total",403,460,492,534,552,592,643,697,777,788,862
"87","Apucarana","Profissionais de Saúde - Médicos",185,208,234,251,269,292,319,344,382,405,429
"88","Apucarana","Profissionais de Saúde - Enfermeiros",64,91,97,145,145,160,169,189,216,203,224
"89","Apucarana","Profissionais de Saúde - Dentistas",126,130,129,130,130,131,141,148,161,161,171
"90","Apucarana","Profissionais de Saúde - Farmacêuticos",28,31,32,8,8,9,14,16,18,19,32
"91","Arapongas","Profissionais de Saúde - Total",412,428,456,496,513,526,616,679,709,728,755
"92","Arapongas","Profissionais de Saúde - Médicos",174,154,145,148,166,201,262,296,303,311,304
"93","Arapongas","Profissionais de Saúde - Enfermeiros",129,160,195,244,243,226,245,267,279,291,307
"94","Arapongas","Profissionais de Saúde - Dentistas",87,89,90,92,91,88,92,98,107,104,105
"95","Arapongas","Profissionais de Saúde - Farmacêuticos",22,25,26,12,13,11,17,18,20,22,29
"96","Arapoti","Profissionais de Saúde - Total",49,48,43,49,52,50,52,57,58,56,64
"97","Arapoti","Profissionais de Saúde - Médicos",22,19,14,19,20,16,18,19,20,16,21
"98","Arapoti","Profissionais de Saúde - Enfermeiros",9,10,10,14,15,18,17,19,18,18,20
"99","Arapoti","Profissionais de Saúde - Dentistas",13,13,14,14,14,13,15,16,17,19,19
"100","Arapoti","Profissionais de Saúde - Farmacêuticos",5,6,5,2,3,3,2,3,3,3,4
"101","Arapuã","Profissionais de Saúde - Total",10,10,11,10,10,9,9,10,11,12,10
"102","Arapuã","Profissionais de Saúde - Médicos",3,3,3,3,2,2,2,2,3,4,3
"103","Arapuã","Profissionais de Saúde - Enfermeiros",3,3,3,4,4,3,3,4,4,4,4
"104","Arapuã","Profissionais de Saúde - Dentistas",3,3,3,2,2,2,2,2,2,2,1
"105","Arapuã","Profissionais de Saúde - Farmacêuticos",1,1,2,1,2,2,2,2,2,2,2
"106","Araruna","Profissionais de Saúde - Total",32,30,32,22,23,23,30,33,33,33,25
"107","Araruna","Profissionais de Saúde - Médicos",16,11,11,11,11,10,13,13,14,11,9
"108","Araruna","Profissionais de Saúde - Enfermeiros",11,12,13,9,9,10,12,14,12,13,8
"109","Araruna","Profissionais de Saúde - Dentistas",2,2,2,1,2,2,4,4,4,6,6
"110","Araruna","Profissionais de Saúde - Farmacêuticos",3,5,6,1,1,1,1,2,3,3,2
"111","Araucária","Profissionais de Saúde - Total",486,502,544,538,471,520,623,606,739,834,931
"112","Araucária","Profissionais de Saúde - Médicos",270,287,302,311,275,292,390,380,474,580,588
"113","Araucária","Profissionais de Saúde - Enfermeiros",102,94,113,126,92,123,126,116,151,131,203
"114","Araucária","Profissionais de Saúde - Dentistas",73,78,83,82,86,85,86,87,89,94,93
"115","Araucária","Profissionais de Saúde - Farmacêuticos",41,43,46,19,18,20,21,23,25,29,34
"116","Ariranha do Ivaí","Profissionais de Saúde - Total",6,7,7,7,4,8,7,5,5,7,8
"117","Ariranha do Ivaí","Profissionais de Saúde - Médicos",1,2,2,2,1,3,2,1,1,3,3
"118","Ariranha do Ivaí","Profissionais de Saúde - Enfermeiros",2,2,2,2,2,3,3,3,3,3,3
"119","Ariranha do Ivaí","Profissionais de Saúde - Dentistas",2,2,2,2,NA,1,1,NA,NA,NA,1
"120","Ariranha do Ivaí","Profissionais de Saúde - Farmacêuticos",1,1,1,1,1,1,1,1,1,1,1
"121","Assaí","Profissionais de Saúde - Total",43,33,35,39,48,56,55,55,52,56,56
"122","Assaí","Profissionais de Saúde - Médicos",20,15,12,18,23,26,26,27,26,29,23
"123","Assaí","Profissionais de Saúde - Enfermeiros",8,5,9,9,12,18,19,16,15,16,18
"124","Assaí","Profissionais de Saúde - Dentistas",9,9,10,10,10,9,9,9,9,9,9
"125","Assaí","Profissionais de Saúde - Farmacêuticos",6,4,4,2,3,3,1,3,2,2,4
"126","Assis Chateaubriand","Profissionais de Saúde - Total",74,73,85,80,86,89,85,104,114,119,146
"127","Assis Chateaubriand","Profissionais de Saúde - Médicos",21,23,22,26,28,30,37,39,42,47,53
"128","Assis Chateaubriand","Profissionais de Saúde - Enfermeiros",12,13,20,21,24,26,19,31,36,35,48
"129","Assis Chateaubriand","Profissionais de Saúde - Dentistas",33,29,30,29,30,29,26,29,29,30,32
"130","Assis Chateaubriand","Profissionais de Saúde - Farmacêuticos",8,8,13,4,4,4,3,5,7,7,12
"131","Astorga","Profissionais de Saúde - Total",63,62,65,65,72,73,73,80,81,89,94
"132","Astorga","Profissionais de Saúde - Médicos",22,23,23,24,26,27,25,32,27,31,34
"133","Astorga","Profissionais de Saúde - Enfermeiros",13,14,14,16,19,20,22,20,23,25,26
"134","Astorga","Profissionais de Saúde - Dentistas",22,19,22,22,24,23,23,25,26,28,28
"135","Astorga","Profissionais de Saúde - Farmacêuticos",6,6,6,3,3,3,3,3,5,5,6
"136","Atalaia","Profissionais de Saúde - Total",11,11,11,12,17,17,19,21,20,21,26
"137","Atalaia","Profissionais de Saúde - Médicos",4,2,1,2,4,5,3,5,5,6,8
"138","Atalaia","Profissionais de Saúde - Enfermeiros",3,5,5,5,5,4,7,8,7,7,9
"139","Atalaia","Profissionais de Saúde - Dentistas",4,4,5,4,5,5,6,5,5,5,6
"140","Atalaia","Profissionais de Saúde - Farmacêuticos",NA,NA,NA,1,3,3,3,3,3,3,3
"141","Balsa Nova","Profissionais de Saúde - Total",27,25,31,29,36,28,32,29,23,25,30
"142","Balsa Nova","Profissionais de Saúde - Médicos",16,13,16,15,20,13,15,14,10,11,11
"143","Balsa Nova","Profissionais de Saúde - Enfermeiros",5,7,9,9,11,9,11,10,9,7,12
"144","Balsa Nova","Profissionais de Saúde - Dentistas",4,3,4,4,4,4,4,3,2,4,4
"145","Balsa Nova","Profissionais de Saúde - Farmacêuticos",2,2,2,1,1,2,2,2,2,3,3
"146","Bandeirantes","Profissionais de Saúde - Total",71,68,69,71,90,87,85,90,105,99,109
"147","Bandeirantes","Profissionais de Saúde - Médicos",30,32,32,34,34,37,38,42,49,42,45
"148","Bandeirantes","Profissionais de Saúde - Enfermeiros",17,14,15,17,33,30,26,26,32,32,38
"149","Bandeirantes","Profissionais de Saúde - Dentistas",18,15,16,17,18,15,14,14,15,15,15
"150","Bandeirantes","Profissionais de Saúde - Farmacêuticos",6,7,6,3,5,5,7,8,9,10,10
"151","Barbosa Ferraz","Profissionais de Saúde - Total",24,22,24,20,20,23,25,22,23,33,29
"152","Barbosa Ferraz","Profissionais de Saúde - Médicos",4,4,5,5,6,8,10,10,11,16,10
"153","Barbosa Ferraz","Profissionais de Saúde - Enfermeiros",10,9,9,8,9,10,9,9,8,13,14
"154","Barbosa Ferraz","Profissionais de Saúde - Dentistas",7,5,6,6,4,4,5,2,3,3,3
"155","Barbosa Ferraz","Profissionais de Saúde - Farmacêuticos",3,4,4,1,1,1,1,1,1,1,2
"156","Barra do Jacaré","Profissionais de Saúde - Total",3,3,1,1,4,4,4,3,3,3,4
"157","Barra do Jacaré","Profissionais de Saúde - Médicos",NA,1,NA,NA,2,1,1,NA,NA,NA,1
"158","Barra do Jacaré","Profissionais de Saúde - Enfermeiros",1,NA,NA,NA,1,2,2,2,2,2,2
"159","Barra do Jacaré","Profissionais de Saúde - Dentistas",1,1,1,1,1,1,1,1,1,1,1
"160","Barra do Jacaré","Profissionais de Saúde - Farmacêuticos",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"161","Barracão","Profissionais de Saúde - Total",19,23,22,24,20,19,22,21,21,22,21
"162","Barracão","Profissionais de Saúde - Médicos",5,6,6,7,4,4,8,7,7,8,7
"163","Barracão","Profissionais de Saúde - Enfermeiros",6,8,8,9,7,8,7,7,7,7,7
"164","Barracão","Profissionais de Saúde - Dentistas",5,6,5,5,6,4,4,4,4,4,4
"165","Barracão","Profissionais de Saúde - Farmacêuticos",3,3,3,3,3,3,3,3,3,3,3
"166","Bela Vista da Caroba","Profissionais de Saúde - Total",9,7,9,8,8,9,10,9,6,7,7
"167","Bela Vista da Caroba","Profissionais de Saúde - Médicos",4,2,3,2,2,3,4,4,2,2,2
"168","Bela Vista da Caroba","Profissionais de Saúde - Enfermeiros",2,2,3,3,3,3,3,2,1,2,3
"169","Bela Vista da Caroba","Profissionais de Saúde - Dentistas",2,2,2,2,2,2,2,2,2,2,1
"170","Bela Vista da Caroba","Profissionais de Saúde - Farmacêuticos",1,1,1,1,1,1,1,1,1,1,1
"171","Bela Vista do Paraíso","Profissionais de Saúde - Total",37,35,37,41,41,43,35,39,43,37,46
"172","Bela Vista do Paraíso","Profissionais de Saúde - Médicos",12,9,11,14,13,15,11,12,13,12,20
"173","Bela Vista do Paraíso","Profissionais de Saúde - Enfermeiros",11,11,12,12,14,15,14,16,17,15,15
"174","Bela Vista do Paraíso","Profissionais de Saúde - Dentistas",7,8,8,11,11,10,7,8,9,8,9
"175","Bela Vista do Paraíso","Profissionais de Saúde - Farmacêuticos",7,7,6,4,3,3,3,3,4,2,2
"176","Bituruna","Profissionais de Saúde - Total",29,19,26,25,28,30,31,30,26,27,29
"177","Bituruna","Profissionais de Saúde - Médicos",11,8,8,12,13,10,11,9,9,9,11
"178","Bituruna","Profissionais de Saúde - Enfermeiros",8,4,9,7,9,11,11,11,7,7,7
"179","Bituruna","Profissionais de Saúde - Dentistas",6,5,7,6,6,7,7,7,7,8,8
"180","Bituruna","Profissionais de Saúde - Farmacêuticos",4,2,2,NA,NA,2,2,3,3,3,3
"181","Boa Esperança","Profissionais de Saúde - Total",8,8,7,9,8,8,10,10,13,12,12
"182","Boa Esperança","Profissionais de Saúde - Médicos",2,2,2,4,3,4,5,4,5,4,3
"183","Boa Esperança","Profissionais de Saúde - Enfermeiros",3,3,3,3,3,3,3,4,5,5,6
"184","Boa Esperança","Profissionais de Saúde - Dentistas",2,2,1,1,1,NA,1,1,2,2,2
"185","Boa Esperança","Profissionais de Saúde - Farmacêuticos",1,1,1,1,1,1,1,1,1,1,1
"186","Boa Esperança do Iguaçu","Profissionais de Saúde - Total",5,7,8,5,7,5,5,6,6,7,6
"187","Boa Esperança do Iguaçu","Profissionais de Saúde - Médicos",1,2,2,2,3,3,3,3,1,2,2
"188","Boa Esperança do Iguaçu","Profissionais de Saúde - Enfermeiros",2,2,3,1,1,1,1,2,3,3,2
"189","Boa Esperança do Iguaçu","Profissionais de Saúde - Dentistas",1,2,2,2,2,1,1,1,2,2,2
"190","Boa Esperança do Iguaçu","Profissionais de Saúde - Farmacêuticos",1,1,1,NA,1,NA,NA,NA,NA,NA,NA
"191","Boa Ventura de São Roque","Profissionais de Saúde - Total",12,9,9,11,9,8,7,12,9,9,8
"192","Boa Ventura de São Roque","Profissionais de Saúde - Médicos",5,3,3,4,3,1,3,4,2,3,2
"193","Boa Ventura de São Roque","Profissionais de Saúde - Enfermeiros",3,3,3,5,4,5,2,6,5,4,4
"194","Boa Ventura de São Roque","Profissionais de Saúde - Dentistas",2,1,1,1,1,1,1,1,1,1,1
"195","Boa Ventura de São Roque","Profissionais de Saúde - Farmacêuticos",2,2,2,1,1,1,1,1,1,1,1
"196","Boa Vista da Aparecida","Profissionais de Saúde - Total",11,13,21,21,22,18,22,24,25,24,24
"197","Boa Vista da Aparecida","Profissionais de Saúde - Médicos",4,3,7,10,7,4,5,8,9,9,9
"198","Boa Vista da Aparecida","Profissionais de Saúde - Enfermeiros",4,5,8,6,8,8,10,9,10,9,9
"199","Boa Vista da Aparecida","Profissionais de Saúde - Dentistas",2,4,5,5,6,5,6,6,6,6,6
"200","Boa Vista da Aparecida","Profissionais de Saúde - Farmacêuticos",1,1,1,NA,1,1,1,1,NA,NA,NA
"201","Bocaiúva do Sul","Profissionais de Saúde - Total",24,18,20,17,19,21,19,25,22,25,23
"202","Bocaiúva do Sul","Profissionais de Saúde - Médicos",9,6,6,5,6,8,9,11,10,12,10
"203","Bocaiúva do Sul","Profissionais de Saúde - Enfermeiros",8,7,10,9,8,8,6,10,9,9,10
"204","Bocaiúva do Sul","Profissionais de Saúde - Dentistas",5,4,3,3,4,4,4,3,2,3,2
"205","Bocaiúva do Sul","Profissionais de Saúde - Farmacêuticos",2,1,1,NA,1,1,NA,1,1,1,1
"206","Bom Jesus do Sul","Profissionais de Saúde - Total",11,10,13,9,11,10,12,12,12,13,11
"207","Bom Jesus do Sul","Profissionais de Saúde - Médicos",3,2,4,3,3,3,3,4,3,4,4
"208","Bom Jesus do Sul","Profissionais de Saúde - Enfermeiros",5,5,6,3,4,4,4,4,5,4,4
"209","Bom Jesus do Sul","Profissionais de Saúde - Dentistas",2,2,2,2,3,2,4,3,2,3,2
"210","Bom Jesus do Sul","Profissionais de Saúde - Farmacêuticos",1,1,1,1,1,1,1,1,2,2,1
"211","Bom Sucesso","Profissionais de Saúde - Total",15,15,14,13,15,16,22,23,23,19,21
"212","Bom Sucesso","Profissionais de Saúde - Médicos",4,4,2,2,3,4,6,6,6,4,5
"213","Bom Sucesso","Profissionais de Saúde - Enfermeiros",5,5,5,5,6,6,9,9,9,7,6
"214","Bom Sucesso","Profissionais de Saúde - Dentistas",3,3,3,3,3,3,4,5,5,5,7
"215","Bom Sucesso","Profissionais de Saúde - Farmacêuticos",3,3,4,3,3,3,3,3,3,3,3
"216","Bom Sucesso do Sul","Profissionais de Saúde - Total",9,8,9,9,9,10,9,9,12,12,14
"217","Bom Sucesso do Sul","Profissionais de Saúde - Médicos",2,2,2,2,2,2,1,2,2,3,4
"218","Bom Sucesso do Sul","Profissionais de Saúde - Enfermeiros",4,3,2,4,4,4,4,4,4,4,4
"219","Bom Sucesso do Sul","Profissionais de Saúde - Dentistas",1,1,2,2,2,2,2,2,2,2,2
"220","Bom Sucesso do Sul","Profissionais de Saúde - Farmacêuticos",2,2,3,1,1,2,2,1,4,3,4
"221","Borrazópolis","Profissionais de Saúde - Total",14,17,19,19,18,18,21,22,20,18,23
"222","Borrazópolis","Profissionais de Saúde - Médicos",2,4,5,5,4,4,6,5,3,3,6
"223","Borrazópolis","Profissionais de Saúde - Enfermeiros",5,6,6,8,6,8,8,10,10,9,10
"224","Borrazópolis","Profissionais de Saúde - Dentistas",5,5,5,5,6,4,5,5,5,5,5
"225","Borrazópolis","Profissionais de Saúde - Farmacêuticos",2,2,3,1,2,2,2,2,2,1,2
"226","Braganey","Profissionais de Saúde - Total",6,7,9,8,9,8,7,11,9,10,10
"227","Braganey","Profissionais de Saúde - Médicos",2,2,2,2,2,2,2,2,1,2,2
"228","Braganey","Profissionais de Saúde - Enfermeiros",3,4,6,4,5,4,3,7,6,5,5
"229","Braganey","Profissionais de Saúde - Dentistas",1,1,NA,1,1,1,1,1,1,1,1
"230","Braganey","Profissionais de Saúde - Farmacêuticos",NA,NA,1,1,1,1,1,1,1,2,2
"231","Brasilândia do Sul","Profissionais de Saúde - Total",7,6,6,6,6,6,7,8,12,8,19
"232","Brasilândia do Sul","Profissionais de Saúde - Médicos",NA,NA,NA,1,1,NA,1,2,3,2,12
"233","Brasilândia do Sul","Profissionais de Saúde - Enfermeiros",3,2,2,2,2,3,3,3,5,2,3
"234","Brasilândia do Sul","Profissionais de Saúde - Dentistas",3,3,3,2,2,2,2,2,3,3,3
"235","Brasilândia do Sul","Profissionais de Saúde - Farmacêuticos",1,1,1,1,1,1,1,1,1,1,1
"236","Cafeara","Profissionais de Saúde - Total",5,5,5,4,7,7,6,8,8,8,9
"237","Cafeara","Profissionais de Saúde - Médicos",2,2,2,1,3,3,2,4,3,2,3
"238","Cafeara","Profissionais de Saúde - Enfermeiros",1,1,1,2,2,2,2,2,3,3,3
"239","Cafeara","Profissionais de Saúde - Dentistas",NA,NA,NA,NA,1,1,1,1,1,1,1
"240","Cafeara","Profissionais de Saúde - Farmacêuticos",2,2,2,1,1,1,1,1,1,2,2
"241","Cafelândia","Profissionais de Saúde - Total",23,20,22,23,27,31,33,37,37,42,55
"242","Cafelândia","Profissionais de Saúde - Médicos",9,4,4,4,7,12,11,13,15,18,24
"243","Cafelândia","Profissionais de Saúde - Enfermeiros",6,7,8,10,11,9,11,13,10,12,18
"244","Cafelândia","Profissionais de Saúde - Dentistas",5,6,6,6,6,7,8,9,9,9,9
"245","Cafelândia","Profissionais de Saúde - Farmacêuticos",3,3,4,3,3,3,3,2,3,3,4
"246","Cafezal do Sul","Profissionais de Saúde - Total",10,13,15,17,18,11,13,14,13,15,18
"247","Cafezal do Sul","Profissionais de Saúde - Médicos",NA,1,2,3,2,1,3,2,2,4,4
"248","Cafezal do Sul","Profissionais de Saúde - Enfermeiros",5,7,7,8,8,7,7,8,8,8,9
"249","Cafezal do Sul","Profissionais de Saúde - Dentistas",4,4,4,5,7,2,3,3,2,2,3
"250","Cafezal do Sul","Profissionais de Saúde - Farmacêuticos",1,1,2,1,1,1,NA,1,1,1,2
"251","Califórnia","Profissionais de Saúde - Total",12,13,16,16,17,21,21,17,15,21,19
"252","Califórnia","Profissionais de Saúde - Médicos",2,3,2,1,2,4,4,4,3,9,8
"253","Califórnia","Profissionais de Saúde - Enfermeiros",3,3,4,4,4,7,7,5,5,6,5
"254","Califórnia","Profissionais de Saúde - Dentistas",5,5,7,9,9,7,7,5,4,3,3
"255","Califórnia","Profissionais de Saúde - Farmacêuticos",2,2,3,2,2,3,3,3,3,3,3
"256","Cambará","Profissionais de Saúde - Total",41,38,37,33,43,35,40,43,50,52,60
"257","Cambará","Profissionais de Saúde - Médicos",19,16,16,13,21,15,16,18,24,26,25
"258","Cambará","Profissionais de Saúde - Enfermeiros",12,12,11,13,13,11,14,15,16,16,21
"259","Cambará","Profissionais de Saúde - Dentistas",4,4,4,6,8,7,8,9,9,9,10
"260","Cambará","Profissionais de Saúde - Farmacêuticos",6,6,6,1,1,2,2,1,1,1,3
"261","Cambé","Profissionais de Saúde - Total",268,262,276,276,287,316,343,343,354,396,487
"262","Cambé","Profissionais de Saúde - Médicos",110,98,108,107,127,144,156,155,168,202,278
"263","Cambé","Profissionais de Saúde - Enfermeiros",57,62,61,74,81,93,106,101,105,111,111
"264","Cambé","Profissionais de Saúde - Dentistas",85,85,91,91,75,72,75,79,72,75,74
"265","Cambé","Profissionais de Saúde - Farmacêuticos",16,17,16,4,4,7,6,8,9,8,13
"266","Cambira","Profissionais de Saúde - Total",11,12,14,14,16,13,11,12,15,17,18
"267","Cambira","Profissionais de Saúde - Médicos",3,5,5,6,8,4,3,2,5,4,5
"268","Cambira","Profissionais de Saúde - Enfermeiros",4,4,5,5,5,6,4,6,6,7,6
"269","Cambira","Profissionais de Saúde - Dentistas",3,2,2,2,2,2,3,3,3,5,5
"270","Cambira","Profissionais de Saúde - Farmacêuticos",1,1,2,1,1,1,1,1,1,1,2
"271","Campina da Lagoa","Profissionais de Saúde - Total",30,23,29,22,23,26,29,26,32,33,33
"272","Campina da Lagoa","Profissionais de Saúde - Médicos",9,4,4,3,3,5,4,4,7,8,8
"273","Campina da Lagoa","Profissionais de Saúde - Enfermeiros",7,8,10,9,10,11,10,10,13,11,9
"274","Campina da Lagoa","Profissionais de Saúde - Dentistas",8,7,9,9,9,9,12,10,10,10,10
