"","Localidade","Variável","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"15","Agudos do Sul","Hospitalizações pelo SUS - Geral por Local de Residência - Taxa de Mortalidade nas Internações (%)",4.88,3.45,3.11,3.44,3.31,3.55,2.25,2.6,3.9,3.24,3.97
"16","Almirante Tamandaré","Hospitalizações pelo SUS - Geral por Local de Residência - Número de Internações",8741,8475,7133,7889,7048,7332,7692,8311,8552,9250,7380
"17","Almirante Tamandaré","Hospitalizações pelo SUS - Geral por Local de Residência - Gastos Total com Internações (R$ 1,00)",10574897.41,10649915.94,9815906.34,12527745.47,10829891.79,12299610.64,13456267.66,15373442.52,16421638.46,20718400.09,16903126.77
"18","Almirante Tamandaré","Hospitalizações pelo SUS - Geral por Local de Residência - Dias de Permanência (dias)",45876,40977,36484,40302,34887,37227,37195,37297,39495,38431,34907
"19","Almirante Tamandaré","Hospitalizações pelo SUS - Geral por Local de Residência - Óbitos nas Internações",235,191,198,206,220,198,249,223,218,243,318
"20","Almirante Tamandaré","Hospitalizações pelo SUS - Geral por Local de Residência - Taxa de Mortalidade nas Internações (%)",2.69,2.25,2.78,2.61,3.12,2.7,3.24,2.68,2.55,2.63,4.31
"21","Altamira do Paraná","Hospitalizações pelo SUS - Geral por Local de Residência - Número de Internações",517,582,495,474,502,515,485,211,164,439,423
"22","Altamira do Paraná","Hospitalizações pelo SUS - Geral por Local de Residência - Gastos Total com Internações (R$ 1,00)",326159.58,494967.88,334523.94,383105.29,420627.13,534046,460429.87,408093.18,320915.43,488302.12,328971.79
"23","Altamira do Paraná","Hospitalizações pelo SUS - Geral por Local de Residência - Dias de Permanência (dias)",1665,2162,1833,1585,1727,1716,1855,1089,807,1863,1531
"24","Altamira do Paraná","Hospitalizações pelo SUS - Geral por Local de Residência - Óbitos nas Internações",11,23,8,9,12,16,14,14,6,13,16
"25","Altamira do Paraná","Hospitalizações pelo SUS - Geral por Local de Residência - Taxa de Mortalidade nas Internações (%)",2.13,3.95,1.62,1.9,2.39,3.11,2.89,6.64,3.66,2.96,3.78
"26","Alto Paraíso","Hospitalizações pelo SUS - Geral por Local de Residência - Número de Internações",175,193,180,217,205,229,225,226,249,246,222
"27","Alto Paraíso","Hospitalizações pelo SUS - Geral por Local de Residência - Gastos Total com Internações (R$ 1,00)",182439.76,232629.38,253326.77,295665.25,391357.34,355243.96,339304.73,272482.89,361130.22,325147.46,371581.23
"28","Alto Paraíso","Hospitalizações pelo SUS - Geral por Local de Residência - Dias de Permanência (dias)",721,1124,981,1470,1247,975,1052,1047,1054,1098,787
"29","Alto Paraíso","Hospitalizações pelo SUS - Geral por Local de Residência - Óbitos nas Internações",5,15,18,17,14,6,10,11,18,9,14
"30","Alto Paraíso","Hospitalizações pelo SUS - Geral por Local de Residência - Taxa de Mortalidade nas Internações (%)",2.86,7.77,10,7.83,6.83,2.62,4.44,4.87,7.23,3.66,6.31
"31","Alto Paraná","Hospitalizações pelo SUS - Geral por Local de Residência - Número de Internações",1422,1471,1437,1433,1798,1744,1640,1526,1557,1525,1304
"32","Alto Paraná","Hospitalizações pelo SUS - Geral por Local de Residência - Gastos Total com Internações (R$ 1,00)",1413662.83,1562605.82,1545515.73,1693903.42,1994924.31,1810834.03,2060900.21,1897748.9,2225026.16,2636052.34,1663331.58
"33","Alto Paraná","Hospitalizações pelo SUS - Geral por Local de Residência - Dias de Permanência (dias)",6398,7285,6408,6341,8222,8916,9579,8510,7890,7190,6192
"34","Alto Paraná","Hospitalizações pelo SUS - Geral por Local de Residência - Óbitos nas Internações",42,46,31,43,48,39,42,38,59,36,58
"35","Alto Paraná","Hospitalizações pelo SUS - Geral por Local de Residência - Taxa de Mortalidade nas Internações (%)",2.95,3.13,2.16,3,2.67,2.24,2.56,2.49,3.79,2.36,4.45
"36","Alto Piquiri","Hospitalizações pelo SUS - Geral por Local de Residência - Número de Internações",623,536,644,520,602,668,600,706,741,687,720
"37","Alto Piquiri","Hospitalizações pelo SUS - Geral por Local de Residência - Gastos Total com Internações (R$ 1,00)",830894.93,851755.42,909301.25,764451.96,816671.99,1254859.93,905009.24,1275976.05,1212382.07,1507182.27,1605285.42
"38","Alto Piquiri","Hospitalizações pelo SUS - Geral por Local de Residência - Dias de Permanência (dias)",4876,4662,4809,4107,4695,5000,4901,5481,4334,4622,5432
"39","Alto Piquiri","Hospitalizações pelo SUS - Geral por Local de Residência - Óbitos nas Internações",30,37,37,28,44,33,32,58,42,28,48
"40","Alto Piquiri","Hospitalizações pelo SUS - Geral por Local de Residência - Taxa de Mortalidade nas Internações (%)",4.82,6.9,5.75,5.38,7.31,4.94,5.33,8.22,5.67,4.08,6.67
"41","Altônia","Hospitalizações pelo SUS - Geral por Local de Residência - Número de Internações",1159,1382,1407,1485,1532,1570,1562,1572,1563,1489,1354
"42","Altônia","Hospitalizações pelo SUS - Geral por Local de Residência - Gastos Total com Internações (R$ 1,00)",1204267.73,1353439.15,1512529.09,1709080.94,1966780.36,2227579.63,1849542.34,2168547.26,2465393.24,2277516.69,2273486.87
"43","Altônia","Hospitalizações pelo SUS - Geral por Local de Residência - Dias de Permanência (dias)",6910,6686,7150,7668,8883,8924,8109,8401,7492,7120,6691
"44","Altônia","Hospitalizações pelo SUS - Geral por Local de Residência - Óbitos nas Internações",74,92,93,104,88,117,105,109,101,79,99
"45","Altônia","Hospitalizações pelo SUS - Geral por Local de Residência - Taxa de Mortalidade nas Internações (%)",6.38,6.66,6.61,7,5.74,7.45,6.72,6.93,6.46,5.31,7.31
"46","Alvorada do Sul","Hospitalizações pelo SUS - Geral por Local de Residência - Número de Internações",419,376,438,407,398,486,650,756,728,758,792
"47","Alvorada do Sul","Hospitalizações pelo SUS - Geral por Local de Residência - Gastos Total com Internações (R$ 1,00)",792260.6,726805.42,764680.02,825581.8,693870.72,960846.92,1029865.57,1139582.15,1323552.77,1285337.55,1531862.18
"48","Alvorada do Sul","Hospitalizações pelo SUS - Geral por Local de Residência - Dias de Permanência (dias)",3176,2980,2742,2873,3355,3176,3723,4524,4502,4290,4168
"49","Alvorada do Sul","Hospitalizações pelo SUS - Geral por Local de Residência - Óbitos nas Internações",18,28,22,17,33,23,34,45,45,31,40
"50","Alvorada do Sul","Hospitalizações pelo SUS - Geral por Local de Residência - Taxa de Mortalidade nas Internações (%)",4.3,7.45,5.02,4.18,8.29,4.73,5.23,5.95,6.18,4.09,5.05
"51","Amaporã","Hospitalizações pelo SUS - Geral por Local de Residência - Número de Internações",368,418,337,343,348,384,380,453,409,539,365
"52","Amaporã","Hospitalizações pelo SUS - Geral por Local de Residência - Gastos Total com Internações (R$ 1,00)",408711.26,476063.97,509624.56,391382.61,502193.09,488795.11,504859.04,834355.08,633259.06,788345.37,562601.27
"53","Amaporã","Hospitalizações pelo SUS - Geral por Local de Residência - Dias de Permanência (dias)",2076,2047,1881,1780,1818,1887,2044,2857,1955,2789,1934
"54","Amaporã","Hospitalizações pelo SUS - Geral por Local de Residência - Óbitos nas Internações",10,15,6,11,12,10,15,18,25,16,16
"55","Amaporã","Hospitalizações pelo SUS - Geral por Local de Residência - Taxa de Mortalidade nas Internações (%)",2.72,3.59,1.78,3.21,3.45,2.6,3.95,3.97,6.11,2.97,4.38
"56","Ampére","Hospitalizações pelo SUS - Geral por Local de Residência - Número de Internações",1494,1317,1546,1576,1595,1741,1770,1916,2244,1901,1705
"57","Ampére","Hospitalizações pelo SUS - Geral por Local de Residência - Gastos Total com Internações (R$ 1,00)",1239414.34,1147705.83,1388912.84,1549314.96,1470271.68,1901813.61,2360563.91,2410132.21,2695809.67,2165020.41,2322339.76
"58","Ampére","Hospitalizações pelo SUS - Geral por Local de Residência - Dias de Permanência (dias)",5567,4712,5324,5812,6051,6203,6312,5946,6916,6579,6126
"59","Ampére","Hospitalizações pelo SUS - Geral por Local de Residência - Óbitos nas Internações",36,39,53,53,41,63,50,41,43,47,50
"60","Ampére","Hospitalizações pelo SUS - Geral por Local de Residência - Taxa de Mortalidade nas Internações (%)",2.41,2.96,3.43,3.36,2.57,3.62,2.82,2.14,1.92,2.47,2.93
"61","Anahy","Hospitalizações pelo SUS - Geral por Local de Residência - Número de Internações",307,307,293,277,245,235,357,357,341,425,294
"62","Anahy","Hospitalizações pelo SUS - Geral por Local de Residência - Gastos Total com Internações (R$ 1,00)",233502.13,282693.31,317189.86,321984.98,284060.07,276464.26,391205.24,457151.37,417826.03,425518.35,415624.47
"63","Anahy","Hospitalizações pelo SUS - Geral por Local de Residência - Dias de Permanência (dias)",1355,1421,1242,1137,1182,1348,1539,1623,1251,1719,1091
"64","Anahy","Hospitalizações pelo SUS - Geral por Local de Residência - Óbitos nas Internações",8,15,5,3,6,8,12,9,14,9,7
"65","Anahy","Hospitalizações pelo SUS - Geral por Local de Residência - Taxa de Mortalidade nas Internações (%)",2.61,4.89,1.71,1.08,2.45,3.4,3.36,2.52,4.11,2.12,2.38
"66","Andirá","Hospitalizações pelo SUS - Geral por Local de Residência - Número de Internações",1856,1883,1815,1591,1514,1763,1580,1541,1577,1722,1363
"67","Andirá","Hospitalizações pelo SUS - Geral por Local de Residência - Gastos Total com Internações (R$ 1,00)",1579684.71,1584447.67,1554947.54,1464147.82,1684750.34,2013567.02,1849461.79,2019883.76,2359734.12,2314966.62,2014526.65
"68","Andirá","Hospitalizações pelo SUS - Geral por Local de Residência - Dias de Permanência (dias)",8582,8917,8903,7661,7656,8346,6773,7684,8104,7886,6418
"69","Andirá","Hospitalizações pelo SUS - Geral por Local de Residência - Óbitos nas Internações",81,67,74,67,66,89,79,72,84,83,83
"70","Andirá","Hospitalizações pelo SUS - Geral por Local de Residência - Taxa de Mortalidade nas Internações (%)",4.36,3.56,4.08,4.21,4.36,5.05,5,4.67,5.33,4.82,6.09
"71","Ângulo","Hospitalizações pelo SUS - Geral por Local de Residência - Número de Internações",199,175,182,177,233,235,219,228,237,313,282
"72","Ângulo","Hospitalizações pelo SUS - Geral por Local de Residência - Gastos Total com Internações (R$ 1,00)",234727.74,218356.63,217143.69,170817.98,380201.17,359300.55,388906.43,299985.19,330081.51,479962.39,410960.5
"73","Ângulo","Hospitalizações pelo SUS - Geral por Local de Residência - Dias de Permanência (dias)",1009,1057,1131,924,1154,1063,1089,971,1255,1681,1346
"74","Ângulo","Hospitalizações pelo SUS - Geral por Local de Residência - Óbitos nas Internações",14,9,8,7,4,6,10,11,8,12,14
"75","Ângulo","Hospitalizações pelo SUS - Geral por Local de Residência - Taxa de Mortalidade nas Internações (%)",7.04,5.14,4.4,3.95,1.72,2.55,4.57,4.82,3.38,3.83,4.96
"76","Antonina","Hospitalizações pelo SUS - Geral por Local de Residência - Número de Internações",1290,1395,1387,1281,1311,1149,1371,1666,1520,1498,941
"77","Antonina","Hospitalizações pelo SUS - Geral por Local de Residência - Gastos Total com Internações (R$ 1,00)",1143031.35,1200907.55,1507795.42,1480926.84,1524484.71,1423181.62,2140513.12,2307430.22,2488345.63,2593850.74,1502769.24
"78","Antonina","Hospitalizações pelo SUS - Geral por Local de Residência - Dias de Permanência (dias)",6207,5925,7985,7388,6701,5906,6817,7613,7121,8146,5127
"79","Antonina","Hospitalizações pelo SUS - Geral por Local de Residência - Óbitos nas Internações",43,47,59,56,73,53,74,71,76,68,47
"80","Antonina","Hospitalizações pelo SUS - Geral por Local de Residência - Taxa de Mortalidade nas Internações (%)",3.33,3.37,4.25,4.37,5.57,4.61,5.4,4.26,5,4.54,4.99
"81","Antônio Olinto","Hospitalizações pelo SUS - Geral por Local de Residência - Número de Internações",455,405,414,561,476,569,634,559,546,625,472
"82","Antônio Olinto","Hospitalizações pelo SUS - Geral por Local de Residência - Gastos Total com Internações (R$ 1,00)",500195.88,435878,521741.14,736557.01,661236.56,821341.39,838190.67,688410.93,776389.54,956113.09,610464.55
"83","Antônio Olinto","Hospitalizações pelo SUS - Geral por Local de Residência - Dias de Permanência (dias)",1867,1789,1572,2188,1860,1964,2086,2002,2006,2148,1997
"84","Antônio Olinto","Hospitalizações pelo SUS - Geral por Local de Residência - Óbitos nas Internações",11,10,12,10,18,28,17,21,21,32,19
"85","Antônio Olinto","Hospitalizações pelo SUS - Geral por Local de Residência - Taxa de Mortalidade nas Internações (%)",2.42,2.47,2.9,1.78,3.78,4.92,2.68,3.76,3.85,5.12,4.03
"86","Apucarana","Hospitalizações pelo SUS - Geral por Local de Residência - Número de Internações",9050,9456,9296,8405,9651,8201,9180,9358,9742,10089,8077
"87","Apucarana","Hospitalizações pelo SUS - Geral por Local de Residência - Gastos Total com Internações (R$ 1,00)",10970760.56,12393395.92,12754879.26,13317636.93,14530336.62,13577302.89,15687141,15852289.65,17754294.21,19212925.87,16724453.53
"88","Apucarana","Hospitalizações pelo SUS - Geral por Local de Residência - Dias de Permanência (dias)",52481,50439,50980,48626,51461,47096,52771,48979,53101,54097,44702
"89","Apucarana","Hospitalizações pelo SUS - Geral por Local de Residência - Óbitos nas Internações",427,435,466,428,448,435,528,495,489,544,521
"90","Apucarana","Hospitalizações pelo SUS - Geral por Local de Residência - Taxa de Mortalidade nas Internações (%)",4.72,4.6,5.01,5.09,4.64,5.3,5.75,5.29,5.02,5.39,6.45
"91","Arapongas","Hospitalizações pelo SUS - Geral por Local de Residência - Número de Internações",8096,8451,8558,8180,8251,7932,8800,8576,9949,10030,8175
"92","Arapongas","Hospitalizações pelo SUS - Geral por Local de Residência - Gastos Total com Internações (R$ 1,00)",11796743.87,13272400.45,14740946.89,14519754.21,15350816.44,14869955.17,15017333.53,15251784.28,19379852.27,21575828.22,18824034.19
"93","Arapongas","Hospitalizações pelo SUS - Geral por Local de Residência - Dias de Permanência (dias)",42150,43819,42783,44271,41635,40086,42192,42759,46595,46873,40029
"94","Arapongas","Hospitalizações pelo SUS - Geral por Local de Residência - Óbitos nas Internações",394,428,454,504,417,457,512,495,460,538,603
"95","Arapongas","Hospitalizações pelo SUS - Geral por Local de Residência - Taxa de Mortalidade nas Internações (%)",4.87,5.06,5.3,6.16,5.05,5.76,5.82,5.77,4.62,5.36,7.38
"96","Arapoti","Hospitalizações pelo SUS - Geral por Local de Residência - Número de Internações",2009,1636,1213,1382,1427,1520,1438,1685,1900,1529,1246
"97","Arapoti","Hospitalizações pelo SUS - Geral por Local de Residência - Gastos Total com Internações (R$ 1,00)",1378756.84,1537829.52,1279595.43,1327685.7,1829057.42,2064773.23,2824949.7,3441434.47,3673570.19,2789394.87,2491304.61
"98","Arapoti","Hospitalizações pelo SUS - Geral por Local de Residência - Dias de Permanência (dias)",9061,7925,6247,5368,6062,5696,5265,6588,7706,6242,5323
"99","Arapoti","Hospitalizações pelo SUS - Geral por Local de Residência - Óbitos nas Internações",65,79,38,47,59,53,51,45,43,41,40
"100","Arapoti","Hospitalizações pelo SUS - Geral por Local de Residência - Taxa de Mortalidade nas Internações (%)",3.24,4.83,3.13,3.4,4.13,3.49,3.55,2.67,2.26,2.68,3.21
"101","Arapuã","Hospitalizações pelo SUS - Geral por Local de Residência - Número de Internações",346,293,350,291,316,313,362,304,324,337,299
"102","Arapuã","Hospitalizações pelo SUS - Geral por Local de Residência - Gastos Total com Internações (R$ 1,00)",601398.53,484710.84,478569.28,435051.11,400664.27,491705.26,554496.15,451193.32,517038.37,689529.52,421736.31
"103","Arapuã","Hospitalizações pelo SUS - Geral por Local de Residência - Dias de Permanência (dias)",2029,1345,1775,1344,1424,1555,1582,1718,1243,1319,1146
"104","Arapuã","Hospitalizações pelo SUS - Geral por Local de Residência - Óbitos nas Internações",17,19,15,16,13,16,18,14,12,19,23
"105","Arapuã","Hospitalizações pelo SUS - Geral por Local de Residência - Taxa de Mortalidade nas Internações (%)",4.91,6.48,4.29,5.5,4.11,5.11,4.97,4.61,3.7,5.64,7.69
"106","Araruna","Hospitalizações pelo SUS - Geral por Local de Residência - Número de Internações",1201,1231,1425,1163,1264,1296,1195,1256,1269,1280,977
"107","Araruna","Hospitalizações pelo SUS - Geral por Local de Residência - Gastos Total com Internações (R$ 1,00)",837904.89,1078705.59,1108653.22,1116444.99,1242292.1,1496474.75,1197060.52,1320009.84,1554424.95,1388119.3,1347818.21
"108","Araruna","Hospitalizações pelo SUS - Geral por Local de Residência - Dias de Permanência (dias)",4791,5088,5125,4174,4350,4994,4302,4718,4855,5189,3704
"109","Araruna","Hospitalizações pelo SUS - Geral por Local de Residência - Óbitos nas Internações",28,36,40,41,44,62,47,60,44,48,62
"110","Araruna","Hospitalizações pelo SUS - Geral por Local de Residência - Taxa de Mortalidade nas Internações (%)",2.33,2.92,2.81,3.53,3.48,4.78,3.93,4.78,3.47,3.75,6.35
"111","Araucária","Hospitalizações pelo SUS - Geral por Local de Residência - Número de Internações",7532,9248,9288,10098,8340,9054,9372,10415,11509,10908,8626
"112","Araucária","Hospitalizações pelo SUS - Geral por Local de Residência - Gastos Total com Internações (R$ 1,00)",10209231.01,11591127.65,11691731.88,12988050.82,12150115.36,14453713.84,13574254.3,16685839.66,20296995.78,18457811.14,18431240.2
"113","Araucária","Hospitalizações pelo SUS - Geral por Local de Residência - Dias de Permanência (dias)",38236,43442,43815,47772,42576,45249,43219,44848,46378,44743,39425
"114","Araucária","Hospitalizações pelo SUS - Geral por Local de Residência - Óbitos nas Internações",292,343,302,310,309,314,338,328,411,398,451
"115","Araucária","Hospitalizações pelo SUS - Geral por Local de Residência - Taxa de Mortalidade nas Internações (%)",3.88,3.71,3.25,3.07,3.71,3.47,3.61,3.15,3.57,3.65,5.23
"116","Ariranha do Ivaí","Hospitalizações pelo SUS - Geral por Local de Residência - Número de Internações",233,224,248,208,226,268,264,264,254,272,252
"117","Ariranha do Ivaí","Hospitalizações pelo SUS - Geral por Local de Residência - Gastos Total com Internações (R$ 1,00)",340118.01,333275.32,276948.82,357759.97,367805.68,375445.12,321017.7,408012.39,411733.94,483625.77,339856.72
"118","Ariranha do Ivaí","Hospitalizações pelo SUS - Geral por Local de Residência - Dias de Permanência (dias)",1250,1349,1384,1132,1201,1286,1279,1475,1437,1238,1064
"119","Ariranha do Ivaí","Hospitalizações pelo SUS - Geral por Local de Residência - Óbitos nas Internações",5,9,10,14,9,13,9,21,14,10,12
"120","Ariranha do Ivaí","Hospitalizações pelo SUS - Geral por Local de Residência - Taxa de Mortalidade nas Internações (%)",2.15,4.02,4.03,6.73,3.98,4.85,3.41,7.95,5.51,3.68,4.76
"121","Assaí","Hospitalizações pelo SUS - Geral por Local de Residência - Número de Internações",1594,1459,1467,1113,1625,1821,2007,1155,1171,1299,1270
"122","Assaí","Hospitalizações pelo SUS - Geral por Local de Residência - Gastos Total com Internações (R$ 1,00)",1228787.83,1272974.88,1407299.09,1213696.95,1861430.71,1969288.08,2111127.51,1714915.12,2163451.25,2311142.58,2326848.24
"123","Assaí","Hospitalizações pelo SUS - Geral por Local de Residência - Dias de Permanência (dias)",6380,6124,6374,5689,7158,6493,7516,4955,5943,6433,5448
"124","Assaí","Hospitalizações pelo SUS - Geral por Local de Residência - Óbitos nas Internações",36,43,42,41,45,50,61,54,55,75,79
"125","Assaí","Hospitalizações pelo SUS - Geral por Local de Residência - Taxa de Mortalidade nas Internações (%)",2.26,2.95,2.86,3.68,2.77,2.75,3.04,4.68,4.7,5.77,6.22
"126","Assis Chateaubriand","Hospitalizações pelo SUS - Geral por Local de Residência - Número de Internações",3158,2858,3023,3206,2566,2801,2792,3052,3256,3457,3453
"127","Assis Chateaubriand","Hospitalizações pelo SUS - Geral por Local de Residência - Gastos Total com Internações (R$ 1,00)",2481840.56,2513731.48,2610830.08,3201074.17,2761882.35,3282122.22,3596288.2,3943684.75,4895487.77,4971099.79,5002961.76
"128","Assis Chateaubriand","Hospitalizações pelo SUS - Geral por Local de Residência - Dias de Permanência (dias)",14097,13143,12785,14144,11236,10828,10409,11586,11535,14527,12176
"129","Assis Chateaubriand","Hospitalizações pelo SUS - Geral por Local de Residência - Óbitos nas Internações",100,88,84,93,79,125,120,127,134,128,160
"130","Assis Chateaubriand","Hospitalizações pelo SUS - Geral por Local de Residência - Taxa de Mortalidade nas Internações (%)",3.17,3.08,2.78,2.9,3.08,4.46,4.3,4.16,4.12,3.7,4.63
"131","Astorga","Hospitalizações pelo SUS - Geral por Local de Residência - Número de Internações",2178,2258,2198,2059,2095,2302,2422,2683,2690,3068,2355
"132","Astorga","Hospitalizações pelo SUS - Geral por Local de Residência - Gastos Total com Internações (R$ 1,00)",1938185.6,2430385.04,2401877,2297542.81,2537616.29,3096805.62,3147075.9,3468486.3,3876638.57,4155602.93,3888764.96
"133","Astorga","Hospitalizações pelo SUS - Geral por Local de Residência - Dias de Permanência (dias)",9380,9886,9311,8907,8597,9459,10073,10584,11369,12403,9559
"134","Astorga","Hospitalizações pelo SUS - Geral por Local de Residência - Óbitos nas Internações",57,84,85,74,72,69,81,91,96,98,103
"135","Astorga","Hospitalizações pelo SUS - Geral por Local de Residência - Taxa de Mortalidade nas Internações (%)",2.62,3.72,3.87,3.59,3.44,3,3.34,3.39,3.57,3.19,4.37
"136","Atalaia","Hospitalizações pelo SUS - Geral por Local de Residência - Número de Internações",290,269,250,252,268,290,298,257,270,234,175
"137","Atalaia","Hospitalizações pelo SUS - Geral por Local de Residência - Gastos Total com Internações (R$ 1,00)",179272.51,374716.6,276352.23,404212.53,408803.17,319650.07,489889.41,372032.84,420360.94,411684.33,409415.8
"138","Atalaia","Hospitalizações pelo SUS - Geral por Local de Residência - Dias de Permanência (dias)",968,1256,1080,1122,1251,1490,1308,1372,1593,1176,922
"139","Atalaia","Hospitalizações pelo SUS - Geral por Local de Residência - Óbitos nas Internações",8,14,5,8,13,15,5,14,9,9,20
"140","Atalaia","Hospitalizações pelo SUS - Geral por Local de Residência - Taxa de Mortalidade nas Internações (%)",2.76,5.2,2,3.17,4.85,5.17,1.68,5.45,3.33,3.85,11.43
"141","Balsa Nova","Hospitalizações pelo SUS - Geral por Local de Residência - Número de Internações",1139,1042,1014,1485,1199,1175,1518,1780,1564,1488,1363
"142","Balsa Nova","Hospitalizações pelo SUS - Geral por Local de Residência - Gastos Total com Internações (R$ 1,00)",1745793.39,1722052.31,1750061.07,2519344.54,1855203.91,2119131.48,3125469.57,3414674.82,3012019.79,2905564.42,2868982.4
"143","Balsa Nova","Hospitalizações pelo SUS - Geral por Local de Residência - Dias de Permanência (dias)",4704,4404,3986,4988,3508,4216,5363,6359,5686,5492,4736
"144","Balsa Nova","Hospitalizações pelo SUS - Geral por Local de Residência - Óbitos nas Internações",41,24,30,47,28,45,52,49,39,53,61
"145","Balsa Nova","Hospitalizações pelo SUS - Geral por Local de Residência - Taxa de Mortalidade nas Internações (%)",3.6,2.3,2.96,3.16,2.34,3.83,3.43,2.75,2.49,3.56,4.48
"146","Bandeirantes","Hospitalizações pelo SUS - Geral por Local de Residência - Número de Internações",2922,3026,3051,2978,2972,2947,3071,3608,3915,3426,3279
"147","Bandeirantes","Hospitalizações pelo SUS - Geral por Local de Residência - Gastos Total com Internações (R$ 1,00)",2480347.21,2745167.4,2736755.78,2835076.61,3307620.45,2799666.09,3566000.42,5407004.72,5630995.64,5667805.39,5201725.42
"148","Bandeirantes","Hospitalizações pelo SUS - Geral por Local de Residência - Dias de Permanência (dias)",15813,16159,14763,13832,16867,15846,16624,19629,20059,17608,16773
"149","Bandeirantes","Hospitalizações pelo SUS - Geral por Local de Residência - Óbitos nas Internações",150,147,133,134,174,168,174,168,197,150,196
"150","Bandeirantes","Hospitalizações pelo SUS - Geral por Local de Residência - Taxa de Mortalidade nas Internações (%)",5.13,4.86,4.36,4.5,5.85,5.7,5.67,4.66,5.03,4.38,5.98
"151","Barbosa Ferraz","Hospitalizações pelo SUS - Geral por Local de Residência - Número de Internações",1661,1140,1231,1190,1209,1174,1147,1219,1276,1367,1073
"152","Barbosa Ferraz","Hospitalizações pelo SUS - Geral por Local de Residência - Gastos Total com Internações (R$ 1,00)",1233683.44,1073252.85,1090057.18,1167934.65,1318495.1,1377202.95,1338766.38,1350914.76,1445912.92,1719745.06,1246927.51
"153","Barbosa Ferraz","Hospitalizações pelo SUS - Geral por Local de Residência - Dias de Permanência (dias)",7141,6353,6021,5391,6121,5421,5495,5234,5624,5788,4412
"154","Barbosa Ferraz","Hospitalizações pelo SUS - Geral por Local de Residência - Óbitos nas Internações",41,36,52,39,62,54,32,37,47,49,54
"155","Barbosa Ferraz","Hospitalizações pelo SUS - Geral por Local de Residência - Taxa de Mortalidade nas Internações (%)",2.47,3.16,4.22,3.28,5.13,4.6,2.79,3.04,3.68,3.58,5.03
"156","Barra do Jacaré","Hospitalizações pelo SUS - Geral por Local de Residência - Número de Internações",263,232,252,228,255,216,203,203,229,197,172
"157","Barra do Jacaré","Hospitalizações pelo SUS - Geral por Local de Residência - Gastos Total com Internações (R$ 1,00)",167422.29,191625.32,221671.05,216877.87,260143.63,182713.52,235542.54,272292.82,371576.45,378798.82,327183.89
"158","Barra do Jacaré","Hospitalizações pelo SUS - Geral por Local de Residência - Dias de Permanência (dias)",1104,894,956,921,975,866,781,947,1021,976,688
"159","Barra do Jacaré","Hospitalizações pelo SUS - Geral por Local de Residência - Óbitos nas Internações",4,12,8,9,7,9,6,12,12,13,6
