"","Localidade","Variável","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"48","Agudos do Sul","Óbitos (CID10) - Cap XIV - Doenças do Aparelho Geniturinário",NA,2,1,1,2,1,1,1,NA,NA,1
"49","Agudos do Sul","Óbitos (CID10) - Cap XV - Gravidez, Parto e Puerpério",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","Agudos do Sul","Óbitos (CID10) - Cap XVI - Algumas Afecções Originadas no Período Perinatal",NA,2,1,NA,3,NA,1,1,3,NA,NA
"51","Agudos do Sul","Óbitos (CID10) - Cap XVII - Mal Formação Congênita, Deformidades, Anomalias Cromossômicas",NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA
"52","Almirante Tamandaré","Nascidos Vivos - Total",1846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","Almirante Tamandaré","Óbitos (CID10) - Total (Mortalidade Geral)",652,636,628,636,673,650,686,603,639,641,766
"54","Almirante Tamandaré","Óbitos (CID10) - Cap I - Algumas Doenças Infecciosas e Parasitárias",25,20,24,21,17,29,30,28,23,28,129
"55","Almirante Tamandaré","Óbitos (CID10) - Cap II - Neoplasias (Tumores)",98,87,104,106,121,123,111,100,111,110,129
"56","Almirante Tamandaré","Óbitos (CID10) - Cap III - Doenças do Sangue, Órgãos Hematopoéticos e Transtornos Imunitários",1,6,1,3,5,3,3,1,2,3,2
"57","Almirante Tamandaré","Óbitos (CID10) - Cap IV - Doenças Endócrinas, Nutricionais e Metabólicas",27,27,39,38,42,29,44,43,58,46,34
"58","Almirante Tamandaré","Óbitos (CID10) - Cap V - Transtornos Mentais e Comportamentais",9,8,18,7,13,14,15,16,14,21,17
"59","Almirante Tamandaré","Óbitos (CID10) - Cap VI - Doenças do Sistema Nervoso",16,5,18,10,19,19,27,24,21,17,18
"60","Almirante Tamandaré","Óbitos (CID10) - Cap IX - Doenças do Aparelho Circulatório",172,168,153,166,176,170,181,160,152,173,174
"61","Almirante Tamandaré","Óbitos (CID10) - Cap X - Doenças do Aparelho Respiratório",49,70,71,56,60,64,56,66,70,66,48
"62","Almirante Tamandaré","Óbitos (CID10) - Cap XI - Doenças do Aparelho Digestivo",37,31,32,36,33,27,39,32,41,40,37
"63","Almirante Tamandaré","Óbitos (CID10) - Cap XII - Doenças da Pele e do Tecido Celular Subcutâneo",NA,1,1,1,2,NA,1,3,1,1,2
"64","Almirante Tamandaré","Óbitos (CID10) - Cap XIII - Doenças do Sistema Osteomuscular e do Tecido Conjuntivo",3,NA,2,2,NA,3,4,1,2,1,2
"65","Almirante Tamandaré","Óbitos (CID10) - Cap XIV - Doenças do Aparelho Geniturinário",6,9,7,7,13,14,17,20,17,14,10
"66","Almirante Tamandaré","Óbitos (CID10) - Cap XV - Gravidez, Parto e Puerpério",2,NA,2,NA,1,1,NA,NA,1,NA,1
"67","Almirante Tamandaré","Óbitos (CID10) - Cap XVI - Algumas Afecções Originadas no Período Perinatal",7,10,4,13,13,4,7,11,8,5,6
"68","Almirante Tamandaré","Óbitos (CID10) - Cap XVII - Mal Formação Congênita, Deformidades, Anomalias Cromossômicas",2,10,10,5,8,8,4,6,4,4,3
"69","Altamira do Paraná","Nascidos Vivos - Total",61,59,51,54,55,60,54,71,42,49,52
"70","Altamira do Paraná","Óbitos (CID10) - Total (Mortalidade Geral)",34,33,25,20,26,25,38,34,29,38,35
"71","Altamira do Paraná","Óbitos (CID10) - Cap I - Algumas Doenças Infecciosas e Parasitárias",NA,NA,NA,NA,1,NA,2,1,NA,NA,3
"72","Altamira do Paraná","Óbitos (CID10) - Cap II - Neoplasias (Tumores)",3,5,4,3,2,5,5,4,5,7,3
"73","Altamira do Paraná","Óbitos (CID10) - Cap III - Doenças do Sangue, Órgãos Hematopoéticos e Transtornos Imunitários",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"74","Altamira do Paraná","Óbitos (CID10) - Cap IV - Doenças Endócrinas, Nutricionais e Metabólicas",2,2,1,1,NA,NA,4,4,5,3,3
"75","Altamira do Paraná","Óbitos (CID10) - Cap V - Transtornos Mentais e Comportamentais",1,NA,NA,NA,NA,NA,1,1,NA,NA,1
"76","Altamira do Paraná","Óbitos (CID10) - Cap VI - Doenças do Sistema Nervoso",NA,NA,NA,1,2,1,1,NA,NA,NA,2
"77","Altamira do Paraná","Óbitos (CID10) - Cap IX - Doenças do Aparelho Circulatório",11,14,9,7,12,9,13,14,10,15,14
"78","Altamira do Paraná","Óbitos (CID10) - Cap X - Doenças do Aparelho Respiratório",7,3,2,3,2,2,4,2,1,8,1
"79","Altamira do Paraná","Óbitos (CID10) - Cap XI - Doenças do Aparelho Digestivo",3,2,NA,1,1,NA,NA,3,NA,NA,3
"80","Altamira do Paraná","Óbitos (CID10) - Cap XII - Doenças da Pele e do Tecido Celular Subcutâneo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","Altamira do Paraná","Óbitos (CID10) - Cap XIII - Doenças do Sistema Osteomuscular e do Tecido Conjuntivo",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"82","Altamira do Paraná","Óbitos (CID10) - Cap XIV - Doenças do Aparelho Geniturinário",1,2,2,NA,1,NA,2,2,1,NA,1
"83","Altamira do Paraná","Óbitos (CID10) - Cap XV - Gravidez, Parto e Puerpério",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","Altamira do Paraná","Óbitos (CID10) - Cap XVI - Algumas Afecções Originadas no Período Perinatal",NA,2,NA,NA,1,1,NA,NA,NA,NA,NA
"85","Altamira do Paraná","Óbitos (CID10) - Cap XVII - Mal Formação Congênita, Deformidades, Anomalias Cromossômicas",NA,NA,NA,NA,1,NA,NA,NA,2,NA,1
"86","Alto Paraíso","Nascidos Vivos - Total",39,37,38,46,55,29,50,45,52,58,33
"87","Alto Paraíso","Óbitos (CID10) - Total (Mortalidade Geral)",19,33,34,31,25,19,20,23,27,26,20
"88","Alto Paraíso","Óbitos (CID10) - Cap I - Algumas Doenças Infecciosas e Parasitárias",NA,2,2,NA,NA,NA,3,1,NA,1,4
"89","Alto Paraíso","Óbitos (CID10) - Cap II - Neoplasias (Tumores)",3,5,5,5,1,NA,2,4,1,4,4
"90","Alto Paraíso","Óbitos (CID10) - Cap III - Doenças do Sangue, Órgãos Hematopoéticos e Transtornos Imunitários",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","Alto Paraíso","Óbitos (CID10) - Cap IV - Doenças Endócrinas, Nutricionais e Metabólicas",1,3,5,5,4,3,2,4,2,NA,3
"92","Alto Paraíso","Óbitos (CID10) - Cap V - Transtornos Mentais e Comportamentais",NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA
"93","Alto Paraíso","Óbitos (CID10) - Cap VI - Doenças do Sistema Nervoso",NA,NA,1,NA,NA,NA,NA,NA,2,NA,1
"94","Alto Paraíso","Óbitos (CID10) - Cap IX - Doenças do Aparelho Circulatório",4,10,7,8,8,8,6,5,8,11,3
"95","Alto Paraíso","Óbitos (CID10) - Cap X - Doenças do Aparelho Respiratório",3,4,4,6,2,2,3,3,5,4,2
"96","Alto Paraíso","Óbitos (CID10) - Cap XI - Doenças do Aparelho Digestivo",2,2,5,2,2,NA,NA,1,2,1,NA
"97","Alto Paraíso","Óbitos (CID10) - Cap XII - Doenças da Pele e do Tecido Celular Subcutâneo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","Alto Paraíso","Óbitos (CID10) - Cap XIII - Doenças do Sistema Osteomuscular e do Tecido Conjuntivo",NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA
"99","Alto Paraíso","Óbitos (CID10) - Cap XIV - Doenças do Aparelho Geniturinário",NA,1,1,NA,NA,NA,NA,2,1,NA,NA
"100","Alto Paraíso","Óbitos (CID10) - Cap XV - Gravidez, Parto e Puerpério",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"101","Alto Paraíso","Óbitos (CID10) - Cap XVI - Algumas Afecções Originadas no Período Perinatal",NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1
"102","Alto Paraíso","Óbitos (CID10) - Cap XVII - Mal Formação Congênita, Deformidades, Anomalias Cromossômicas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","Alto Paraná","Nascidos Vivos - Total",196,188,160,181,185,202,174,178,214,156,180
"104","Alto Paraná","Óbitos (CID10) - Total (Mortalidade Geral)",91,99,103,112,114,104,100,89,121,95,147
"105","Alto Paraná","Óbitos (CID10) - Cap I - Algumas Doenças Infecciosas e Parasitárias",2,7,2,1,7,7,2,4,1,4,7
"106","Alto Paraná","Óbitos (CID10) - Cap II - Neoplasias (Tumores)",16,9,16,19,22,18,15,13,21,18,21
"107","Alto Paraná","Óbitos (CID10) - Cap III - Doenças do Sangue, Órgãos Hematopoéticos e Transtornos Imunitários",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"108","Alto Paraná","Óbitos (CID10) - Cap IV - Doenças Endócrinas, Nutricionais e Metabólicas",6,2,4,5,8,8,4,3,6,5,11
"109","Alto Paraná","Óbitos (CID10) - Cap V - Transtornos Mentais e Comportamentais",3,1,1,1,1,1,NA,NA,2,2,8
"110","Alto Paraná","Óbitos (CID10) - Cap VI - Doenças do Sistema Nervoso",NA,2,4,1,3,NA,3,3,4,4,3
"111","Alto Paraná","Óbitos (CID10) - Cap IX - Doenças do Aparelho Circulatório",40,33,39,39,26,32,41,32,58,34,59
"112","Alto Paraná","Óbitos (CID10) - Cap X - Doenças do Aparelho Respiratório",6,17,7,12,9,10,10,12,12,10,12
"113","Alto Paraná","Óbitos (CID10) - Cap XI - Doenças do Aparelho Digestivo",NA,5,5,6,6,3,7,5,6,10,6
"114","Alto Paraná","Óbitos (CID10) - Cap XII - Doenças da Pele e do Tecido Celular Subcutâneo",1,1,NA,NA,NA,NA,1,NA,NA,NA,NA
"115","Alto Paraná","Óbitos (CID10) - Cap XIII - Doenças do Sistema Osteomuscular e do Tecido Conjuntivo",1,NA,NA,2,1,1,NA,NA,NA,NA,NA
"116","Alto Paraná","Óbitos (CID10) - Cap XIV - Doenças do Aparelho Geniturinário",3,2,2,2,1,3,NA,3,NA,3,3
"117","Alto Paraná","Óbitos (CID10) - Cap XV - Gravidez, Parto e Puerpério",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1
"118","Alto Paraná","Óbitos (CID10) - Cap XVI - Algumas Afecções Originadas no Período Perinatal",3,2,2,1,2,1,4,NA,NA,NA,2
"119","Alto Paraná","Óbitos (CID10) - Cap XVII - Mal Formação Congênita, Deformidades, Anomalias Cromossômicas",NA,1,NA,2,4,NA,NA,NA,NA,NA,NA
"120","Alto Piquiri","Nascidos Vivos - Total",157,133,128,134,149,126,142,133,145,133,132
"121","Alto Piquiri","Óbitos (CID10) - Total (Mortalidade Geral)",95,99,87,66,94,81,79,107,81,78,102
"122","Alto Piquiri","Óbitos (CID10) - Cap I - Algumas Doenças Infecciosas e Parasitárias",2,3,6,2,3,5,4,4,NA,1,9
"123","Alto Piquiri","Óbitos (CID10) - Cap II - Neoplasias (Tumores)",20,10,10,8,9,22,15,14,16,9,12
"124","Alto Piquiri","Óbitos (CID10) - Cap III - Doenças do Sangue, Órgãos Hematopoéticos e Transtornos Imunitários",NA,NA,NA,1,1,1,NA,NA,NA,NA,NA
"125","Alto Piquiri","Óbitos (CID10) - Cap IV - Doenças Endócrinas, Nutricionais e Metabólicas",5,6,6,2,4,1,4,7,10,6,8
"126","Alto Piquiri","Óbitos (CID10) - Cap V - Transtornos Mentais e Comportamentais",1,NA,1,NA,NA,NA,2,NA,3,1,NA
"127","Alto Piquiri","Óbitos (CID10) - Cap VI - Doenças do Sistema Nervoso",1,1,3,3,2,4,NA,5,2,3,3
"128","Alto Piquiri","Óbitos (CID10) - Cap IX - Doenças do Aparelho Circulatório",32,27,20,20,38,18,28,39,25,24,35
"129","Alto Piquiri","Óbitos (CID10) - Cap X - Doenças do Aparelho Respiratório",11,18,7,11,10,8,11,23,8,16,12
"130","Alto Piquiri","Óbitos (CID10) - Cap XI - Doenças do Aparelho Digestivo",7,7,3,3,9,3,4,5,4,4,7
"131","Alto Piquiri","Óbitos (CID10) - Cap XII - Doenças da Pele e do Tecido Celular Subcutâneo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132","Alto Piquiri","Óbitos (CID10) - Cap XIII - Doenças do Sistema Osteomuscular e do Tecido Conjuntivo",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"133","Alto Piquiri","Óbitos (CID10) - Cap XIV - Doenças do Aparelho Geniturinário",1,1,2,NA,NA,1,NA,4,1,1,2
"134","Alto Piquiri","Óbitos (CID10) - Cap XV - Gravidez, Parto e Puerpério",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"135","Alto Piquiri","Óbitos (CID10) - Cap XVI - Algumas Afecções Originadas no Período Perinatal",NA,1,1,NA,2,3,2,1,2,2,1
"136","Alto Piquiri","Óbitos (CID10) - Cap XVII - Mal Formação Congênita, Deformidades, Anomalias Cromossômicas",NA,NA,2,1,1,NA,1,NA,2,NA,NA
"137","Altônia","Nascidos Vivos - Total",261,262,239,295,256,268,266,245,285,229,225
"138","Altônia","Óbitos (CID10) - Total (Mortalidade Geral)",170,166,149,168,164,174,220,183,204,158,208
"139","Altônia","Óbitos (CID10) - Cap I - Algumas Doenças Infecciosas e Parasitárias",3,16,18,19,13,22,17,13,2,2,9
"140","Altônia","Óbitos (CID10) - Cap II - Neoplasias (Tumores)",33,17,22,21,18,23,34,18,27,23,32
"141","Altônia","Óbitos (CID10) - Cap III - Doenças do Sangue, Órgãos Hematopoéticos e Transtornos Imunitários",1,NA,NA,NA,NA,1,1,NA,1,NA,NA
"142","Altônia","Óbitos (CID10) - Cap IV - Doenças Endócrinas, Nutricionais e Metabólicas",8,6,14,9,12,7,12,11,19,13,6
"143","Altônia","Óbitos (CID10) - Cap V - Transtornos Mentais e Comportamentais",2,3,NA,NA,NA,NA,3,3,1,2,3
"144","Altônia","Óbitos (CID10) - Cap VI - Doenças do Sistema Nervoso",2,3,1,1,NA,3,8,7,6,4,10
"145","Altônia","Óbitos (CID10) - Cap IX - Doenças do Aparelho Circulatório",62,60,44,66,56,50,51,52,70,54,75
"146","Altônia","Óbitos (CID10) - Cap X - Doenças do Aparelho Respiratório",8,11,12,15,18,24,25,30,34,17,15
"147","Altônia","Óbitos (CID10) - Cap XI - Doenças do Aparelho Digestivo",7,14,10,9,6,9,12,13,11,9,13
"148","Altônia","Óbitos (CID10) - Cap XII - Doenças da Pele e do Tecido Celular Subcutâneo",NA,1,NA,1,1,NA,NA,NA,NA,3,NA
"149","Altônia","Óbitos (CID10) - Cap XIII - Doenças do Sistema Osteomuscular e do Tecido Conjuntivo",1,NA,NA,NA,NA,NA,NA,1,1,NA,1
"150","Altônia","Óbitos (CID10) - Cap XIV - Doenças do Aparelho Geniturinário",4,2,4,1,3,6,3,1,10,8,10
"151","Altônia","Óbitos (CID10) - Cap XV - Gravidez, Parto e Puerpério",1,NA,NA,NA,NA,NA,1,NA,NA,1,1
"152","Altônia","Óbitos (CID10) - Cap XVI - Algumas Afecções Originadas no Período Perinatal",6,2,3,2,3,4,2,2,3,NA,1
"153","Altônia","Óbitos (CID10) - Cap XVII - Mal Formação Congênita, Deformidades, Anomalias Cromossômicas",NA,1,NA,2,1,1,2,2,2,1,NA
"154","Alvorada do Sul","Nascidos Vivos - Total",99,92,98,83,119,103,105,111,110,114,90
"155","Alvorada do Sul","Óbitos (CID10) - Total (Mortalidade Geral)",66,77,62,71,72,64,83,98,88,78,107
"156","Alvorada do Sul","Óbitos (CID10) - Cap I - Algumas Doenças Infecciosas e Parasitárias",NA,4,NA,2,2,4,2,4,1,NA,13
"157","Alvorada do Sul","Óbitos (CID10) - Cap II - Neoplasias (Tumores)",7,17,5,10,8,11,8,18,17,12,19
"158","Alvorada do Sul","Óbitos (CID10) - Cap III - Doenças do Sangue, Órgãos Hematopoéticos e Transtornos Imunitários",NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA
"159","Alvorada do Sul","Óbitos (CID10) - Cap IV - Doenças Endócrinas, Nutricionais e Metabólicas",2,5,2,4,2,6,5,5,7,7,6
"160","Alvorada do Sul","Óbitos (CID10) - Cap V - Transtornos Mentais e Comportamentais",NA,2,4,2,1,NA,2,NA,2,NA,3
"161","Alvorada do Sul","Óbitos (CID10) - Cap VI - Doenças do Sistema Nervoso",2,1,1,3,3,NA,5,6,4,4,5
"162","Alvorada do Sul","Óbitos (CID10) - Cap IX - Doenças do Aparelho Circulatório",22,21,21,21,24,19,31,31,24,28,25
"163","Alvorada do Sul","Óbitos (CID10) - Cap X - Doenças do Aparelho Respiratório",10,12,6,7,8,9,11,11,11,10,13
"164","Alvorada do Sul","Óbitos (CID10) - Cap XI - Doenças do Aparelho Digestivo",8,3,5,7,6,3,6,10,7,4,7
"165","Alvorada do Sul","Óbitos (CID10) - Cap XII - Doenças da Pele e do Tecido Celular Subcutâneo",1,NA,NA,NA,1,NA,NA,NA,NA,1,NA
"166","Alvorada do Sul","Óbitos (CID10) - Cap XIII - Doenças do Sistema Osteomuscular e do Tecido Conjuntivo",2,1,1,1,NA,NA,NA,NA,NA,1,NA
"167","Alvorada do Sul","Óbitos (CID10) - Cap XIV - Doenças do Aparelho Geniturinário",1,2,NA,1,1,1,NA,3,3,3,4
"168","Alvorada do Sul","Óbitos (CID10) - Cap XV - Gravidez, Parto e Puerpério",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"169","Alvorada do Sul","Óbitos (CID10) - Cap XVI - Algumas Afecções Originadas no Período Perinatal",NA,1,1,1,NA,NA,NA,1,NA,1,NA
"170","Alvorada do Sul","Óbitos (CID10) - Cap XVII - Mal Formação Congênita, Deformidades, Anomalias Cromossômicas",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"171","Amaporã","Nascidos Vivos - Total",107,85,75,71,85,79,87,82,60,94,64
"172","Amaporã","Óbitos (CID10) - Total (Mortalidade Geral)",36,34,29,28,38,34,35,40,58,33,42
"173","Amaporã","Óbitos (CID10) - Cap I - Algumas Doenças Infecciosas e Parasitárias",2,NA,2,1,2,2,NA,1,NA,1,2
"174","Amaporã","Óbitos (CID10) - Cap II - Neoplasias (Tumores)",6,8,2,4,6,5,5,5,11,6,9
"175","Amaporã","Óbitos (CID10) - Cap III - Doenças do Sangue, Órgãos Hematopoéticos e Transtornos Imunitários",1,2,NA,NA,1,NA,1,NA,NA,1,1
"176","Amaporã","Óbitos (CID10) - Cap IV - Doenças Endócrinas, Nutricionais e Metabólicas",3,2,5,1,1,1,2,5,8,2,4
"177","Amaporã","Óbitos (CID10) - Cap V - Transtornos Mentais e Comportamentais",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1
"178","Amaporã","Óbitos (CID10) - Cap VI - Doenças do Sistema Nervoso",NA,NA,NA,1,1,NA,1,NA,2,3,1
"179","Amaporã","Óbitos (CID10) - Cap IX - Doenças do Aparelho Circulatório",11,11,6,7,5,13,10,13,14,10,17
"180","Amaporã","Óbitos (CID10) - Cap X - Doenças do Aparelho Respiratório",5,2,1,4,2,2,3,3,6,3,NA
"181","Amaporã","Óbitos (CID10) - Cap XI - Doenças do Aparelho Digestivo",1,2,1,1,4,1,2,3,3,3,3
"182","Amaporã","Óbitos (CID10) - Cap XII - Doenças da Pele e do Tecido Celular Subcutâneo",NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA
"183","Amaporã","Óbitos (CID10) - Cap XIII - Doenças do Sistema Osteomuscular e do Tecido Conjuntivo",NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA
"184","Amaporã","Óbitos (CID10) - Cap XIV - Doenças do Aparelho Geniturinário",1,1,NA,1,2,2,2,2,1,NA,NA
"185","Amaporã","Óbitos (CID10) - Cap XV - Gravidez, Parto e Puerpério",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"186","Amaporã","Óbitos (CID10) - Cap XVI - Algumas Afecções Originadas no Período Perinatal",1,1,NA,NA,2,NA,NA,NA,NA,NA,NA
"187","Amaporã","Óbitos (CID10) - Cap XVII - Mal Formação Congênita, Deformidades, Anomalias Cromossômicas",NA,1,NA,NA,1,1,NA,NA,NA,NA,NA
"188","Ampére","Nascidos Vivos - Total",232,221,249,250,279,242,256,266,290,286,276
"189","Ampére","Óbitos (CID10) - Total (Mortalidade Geral)",110,117,135,98,104,132,114,108,120,121,129
"190","Ampére","Óbitos (CID10) - Cap I - Algumas Doenças Infecciosas e Parasitárias",1,NA,3,3,2,2,4,6,2,2,9
"191","Ampére","Óbitos (CID10) - Cap II - Neoplasias (Tumores)",30,23,25,22,22,31,18,14,20,35,18
"192","Ampére","Óbitos (CID10) - Cap III - Doenças do Sangue, Órgãos Hematopoéticos e Transtornos Imunitários",NA,NA,1,NA,NA,NA,1,NA,1,NA,NA
