"","Localidade","Variável","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019","X2020"
"14","Agudos do Sul","Hospitalizações pelo SUS - Geral por Local de Residência - Gastos Total com Internações (R$ 1,00)",NA,NA,NA,NA,"219.640,20","269.293,61","206.603,21","168.081,76","273.490,64","273.007,12","432.123,28","264.590,93","306.976,09","417.866,53","353.811,45","618.188,75","836.470,92","733.777,42","870.578,14","1.003.954,45","887.441,75","1.170.629,14","1.822.232,38","2.298.302,97","2.278.580,72","1.838.376,36","1.387.891,91"
"15","Agudos do Sul","Hospitalizações pelo SUS - Geral por Local de Residência - Taxa de Mortalidade nas Internações (%)",NA,NA,NA,NA,"2,22","2,71","2,66","2,6","2,22","3,17","4,31","2,71","0,57","2,09","1,09","3,1","4,88","3,45","3,11","3,44","3,31","3,55","2,25","2,6","3,9","3,24","3,97"
"16","Agudos do Sul","Leitos Hospitalares - Existente - Total ",NA,NA,NA,NA,"","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"17","Agudos do Sul","Leitos Hospitalares - SUS - Total ",NA,NA,NA,NA,"","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"18","Agudos do Sul","Leitos Hospitalares - Não SUS - Total ",NA,NA,NA,NA,"","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"19","Almirante Tamandaré","Hospitalizações pelo SUS - Geral por Local de Residência - Número de Internações ",NA,NA,NA,NA,"6.664","7.446","8.171","8.069","7.349","6.894","7.018","8.270","8.227","8.718","9.033","9.026","8.741","8.475","7.133","7.889","7.048","7.332","7.692","8.311","8.552","9.250","7.380"
"20","Almirante Tamandaré","Hospitalizações pelo SUS - Geral por Local de Residência - Gastos Total com Internações (R$ 1,00)",NA,NA,NA,NA,"2.657.803,19","4.184.037,45","3.978.912,97","4.357.163,75","4.691.712,96","4.650.264,25","5.114.054,36","5.813.602,76","5.714.423,80","6.302.593,20","7.925.375,94","9.795.977,87","10.574.897,41","10.649.915,94","9.815.906,34","12.527.745,47","10.829.891,79","12.299.610,64","13.456.267,66","15.373.442,52","16.421.638,46","20.718.400,09","16.903.126,77"
"21","Almirante Tamandaré","Hospitalizações pelo SUS - Geral por Local de Residência - Taxa de Mortalidade nas Internações (%)",NA,NA,NA,NA,"1,94","2,36","2,03","2,16","2,75","2,32","2,48","2,56","2,64","2,53","2,72","2,46","2,69","2,25","2,78","2,61","3,12","2,7","3,24","2,68","2,55","2,63","4,31"
"22","Almirante Tamandaré","Leitos Hospitalares - Existente - Total ",NA,NA,NA,NA,"","","","","","","","35","35","35","45","45","45","45","0","0","0","0","0","0","0","0","0"
"23","Almirante Tamandaré","Leitos Hospitalares - SUS - Total ",NA,NA,NA,NA,"","","","","","","","35","35","35","35","35","35","35","0","0","0","0","0","0","0","0","0"
"24","Almirante Tamandaré","Leitos Hospitalares - Não SUS - Total ",NA,NA,NA,NA,"","","","","","","","0","0","0","10","10","10","10","0","0","0","0","0","0","0","0","0"
"25","Altamira do Paraná","Hospitalizações pelo SUS - Geral por Local de Residência - Número de Internações ",NA,NA,NA,NA,"552","625","573","772","593","482","639","532","557","544","489","537","517","582","495","474","502","515","485","211","164","439","423"
"26","Altamira do Paraná","Hospitalizações pelo SUS - Geral por Local de Residência - Gastos Total com Internações (R$ 1,00)",NA,NA,NA,NA,"173.046,28","243.920,10","202.521,94","280.394,94","245.056,02","281.506,42","278.366,49","233.868,30","246.556,69","256.993,51","246.973,64","329.845,61","326.159,58","494.967,88","334.523,94","383.105,29","420.627,13","534.046,00","460.429,87","408.093,18","320.915,43","488.302,12","328.971,79"
"27","Altamira do Paraná","Hospitalizações pelo SUS - Geral por Local de Residência - Taxa de Mortalidade nas Internações (%)",NA,NA,NA,NA,"1,81","3,36","0,52","0,52","1,35","2,07","0,78","0,56","0,54","1,1","1,02","1,86","2,13","3,95","1,62","1,9","2,39","3,11","2,89","6,64","3,66","2,96","3,78"
"28","Altamira do Paraná","Leitos Hospitalares - Existente - Total ",NA,NA,NA,NA,"","","","","","","","19","19","19","19","19","19","19","19","19","19","19","19","19","19","19","19"
"29","Altamira do Paraná","Leitos Hospitalares - SUS - Total ",NA,NA,NA,NA,"","","","","","","","19","19","19","19","19","19","19","19","19","19","19","19","19","19","19","19"
"30","Altamira do Paraná","Leitos Hospitalares - Não SUS - Total ",NA,NA,NA,NA,"","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"31","Alto Paraíso","Hospitalizações pelo SUS - Geral por Local de Residência - Número de Internações ",NA,NA,NA,NA,"262","303","326","216","251","236","129","78","80","160","171","180","175","193","180","217","205","229","225","226","249","246","222"
"32","Alto Paraíso","Hospitalizações pelo SUS - Geral por Local de Residência - Gastos Total com Internações (R$ 1,00)",NA,NA,NA,NA,"81.171,30","108.187,29","139.338,66","228.235,77","111.875,48","107.749,20","73.455,16","61.377,41","57.070,42","129.846,06","147.865,01","227.784,43","182.439,76","232.629,38","253.326,77","295.665,25","391.357,34","355.243,96","339.304,73","272.482,89","361.130,22","325.147,46","371.581,23"
"33","Alto Paraíso","Hospitalizações pelo SUS - Geral por Local de Residência - Taxa de Mortalidade nas Internações (%)",NA,NA,NA,NA,"2,29","1,65","2,45","2,31","3,59","3,39","3,1","7,69","5","6,25","5,26","4,44","2,86","7,77","10","7,83","6,83","2,62","4,44","4,87","7,23","3,66","6,31"
"34","Alto Paraíso","Leitos Hospitalares - Existente - Total ",NA,NA,NA,NA,"","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"35","Alto Paraíso","Leitos Hospitalares - SUS - Total ",NA,NA,NA,NA,"","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"36","Alto Paraíso","Leitos Hospitalares - Não SUS - Total ",NA,NA,NA,NA,"","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"37","Alto Paraná","Hospitalizações pelo SUS - Geral por Local de Residência - Número de Internações ",NA,NA,NA,NA,"1.090","1.143","1.128","1.263","1.153","1.127","1.096","1.138","1.172","1.198","1.166","1.309","1.422","1.471","1.437","1.433","1.798","1.744","1.640","1.526","1.557","1.525","1.304"
"38","Alto Paraná","Hospitalizações pelo SUS - Geral por Local de Residência - Gastos Total com Internações (R$ 1,00)",NA,NA,NA,NA,"375.151,24","528.238,23","555.014,86","615.619,31","655.675,27","617.014,11","601.158,31","682.006,55","696.275,55","808.927,23","871.040,18","1.003.361,16","1.413.662,83","1.562.605,82","1.545.515,73","1.693.903,42","1.994.924,31","1.810.834,03","2.060.900,21","1.897.748,90","2.225.026,16","2.636.052,34","1.663.331,58"
"39","Alto Paraná","Hospitalizações pelo SUS - Geral por Local de Residência - Taxa de Mortalidade nas Internações (%)",NA,NA,NA,NA,"1,83","2,19","2,22","1,82","2,78","1,42","1,92","3,08","3,41","2,59","1,89","1,6","2,95","3,13","2,16","3","2,67","2,24","2,56","2,49","3,79","2,36","4,45"
"40","Alto Paraná","Leitos Hospitalares - Existente - Total ",NA,NA,NA,NA,"","","","","","","","19","19","19","19","20","20","20","20","20","20","20","20","20","20","20","20"
"41","Alto Paraná","Leitos Hospitalares - SUS - Total ",NA,NA,NA,NA,"","","","","","","","19","19","19","19","19","19","19","19","19","19","19","19","19","19","19","19"
"42","Alto Paraná","Leitos Hospitalares - Não SUS - Total ",NA,NA,NA,NA,"","","","","","","","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1"
"43","Alto Piquiri","Hospitalizações pelo SUS - Geral por Local de Residência - Número de Internações ",NA,NA,NA,NA,"1.110","1.085","1.136","865","819","740","729","655","583","617","637","523","623","536","644","520","602","668","600","706","741","687","720"
"44","Alto Piquiri","Hospitalizações pelo SUS - Geral por Local de Residência - Gastos Total com Internações (R$ 1,00)",NA,NA,NA,NA,"328.206,74","395.727,97","433.964,70","377.547,97","422.587,15","379.258,79","484.870,18","408.471,18","407.374,77","472.626,85","555.884,43","535.407,21","830.894,93","851.755,42","909.301,25","764.451,96","816.671,99","1.254.859,93","905.009,24","1.275.976,05","1.212.382,07","1.507.182,27","1.605.285,42"
"45","Alto Piquiri","Hospitalizações pelo SUS - Geral por Local de Residência - Taxa de Mortalidade nas Internações (%)",NA,NA,NA,NA,"1,89","3,04","2,82","2,08","3,17","2,7","4,25","3,51","3,43","4,54","6,28","5,54","4,82","6,9","5,75","5,38","7,31","4,94","5,33","8,22","5,67","4,08","6,67"
"46","Alto Piquiri","Leitos Hospitalares - Existente - Total ",NA,NA,NA,NA,"","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"47","Alto Piquiri","Leitos Hospitalares - SUS - Total ",NA,NA,NA,NA,"","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"48","Alto Piquiri","Leitos Hospitalares - Não SUS - Total ",NA,NA,NA,NA,"","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"49","Altônia","Hospitalizações pelo SUS - Geral por Local de Residência - Número de Internações ",NA,NA,NA,NA,"1.705","1.721","1.663","1.701","1.613","1.577","1.462","1.611","1.555","1.580","1.321","1.490","1.159","1.382","1.407","1.485","1.532","1.570","1.562","1.572","1.563","1.489","1.354"
"50","Altônia","Hospitalizações pelo SUS - Geral por Local de Residência - Gastos Total com Internações (R$ 1,00)",NA,NA,NA,NA,"472.905,78","529.336,30","609.261,22","638.062,06","679.752,50","691.026,13","773.745,38","804.062,03","924.079,46","847.003,17","1.004.529,20","1.353.369,26","1.204.267,73","1.353.439,15","1.512.529,09","1.709.080,94","1.966.780,36","2.227.579,63","1.849.542,34","2.168.547,26","2.465.393,24","2.277.516,69","2.273.486,87"
"51","Altônia","Hospitalizações pelo SUS - Geral por Local de Residência - Taxa de Mortalidade nas Internações (%)",NA,NA,NA,NA,"2,4","2,61","1,98","2,23","3,1","3,68","5,2","4,35","4,57","5,7","5,53","5,17","6,38","6,66","6,61","7","5,74","7,45","6,72","6,93","6,46","5,31","7,31"
"52","Altônia","Leitos Hospitalares - Existente - Total ",NA,NA,NA,NA,"","","","","","","","78","37","37","37","37","37","37","37","37","37","37","37","37","37","39","39"
"53","Altônia","Leitos Hospitalares - SUS - Total ",NA,NA,NA,NA,"","","","","","","","78","37","37","37","37","37","37","37","37","37","37","37","37","37","39","39"
"54","Altônia","Leitos Hospitalares - Não SUS - Total ",NA,NA,NA,NA,"","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"55","Alvorada do Sul","Hospitalizações pelo SUS - Geral por Local de Residência - Número de Internações ",NA,NA,NA,NA,"793","788","739","785","782","741","635","624","616","535","486","403","419","376","438","407","398","486","650","756","728","758","792"
"56","Alvorada do Sul","Hospitalizações pelo SUS - Geral por Local de Residência - Gastos Total com Internações (R$ 1,00)",NA,NA,NA,NA,"231.394,00","275.775,98","291.435,66","359.385,19","322.395,84","366.709,92","388.855,85","393.405,35","458.325,68","370.152,09","536.579,84","528.020,69","792.260,60","726.805,42","764.680,02","825.581,80","693.870,72","960.846,92","1.029.865,57","1.139.582,15","1.323.552,77","1.285.337,55","1.531.862,18"
"57","Alvorada do Sul","Hospitalizações pelo SUS - Geral por Local de Residência - Taxa de Mortalidade nas Internações (%)",NA,NA,NA,NA,"2,02","1,14","1,08","2,8","2,17","2,43","3,62","4,49","5,03","3,36","4,32","3,47","4,3","7,45","5,02","4,18","8,29","4,73","5,23","5,95","6,18","4,09","5,05"
"58","Alvorada do Sul","Leitos Hospitalares - Existente - Total ",NA,NA,NA,NA,"","","","","","","","21","21","21","21","21","21","21","21","21","21","21","16","16","16","16","20"
"59","Alvorada do Sul","Leitos Hospitalares - SUS - Total ",NA,NA,NA,NA,"","","","","","","","21","21","21","21","21","21","21","21","21","21","21","16","16","16","16","20"
"60","Alvorada do Sul","Leitos Hospitalares - Não SUS - Total ",NA,NA,NA,NA,"","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"61","Amaporã","Hospitalizações pelo SUS - Geral por Local de Residência - Número de Internações ",NA,NA,NA,NA,"397","416","417","450","514","423","363","321","390","430","332","299","368","418","337","343","348","384","380","453","409","539","365"
"62","Amaporã","Hospitalizações pelo SUS - Geral por Local de Residência - Gastos Total com Internações (R$ 1,00)",NA,NA,NA,NA,"99.457,42","144.538,78","138.753,83","150.295,70","188.192,83","173.236,01","216.258,49","159.915,23","201.284,15","236.574,23","281.448,21","306.266,86","408.711,26","476.063,97","509.624,56","391.382,61","502.193,09","488.795,11","504.859,04","834.355,08","633.259,06","788.345,37","562.601,27"
"63","Amaporã","Hospitalizações pelo SUS - Geral por Local de Residência - Taxa de Mortalidade nas Internações (%)",NA,NA,NA,NA,"0,76","1,68","1,2","0,22","2,14","2,13","2,2","0,31","2,05","2,09","2,41","3,01","2,72","3,59","1,78","3,21","3,45","2,6","3,95","3,97","6,11","2,97","4,38"
"64","Amaporã","Leitos Hospitalares - Existente - Total ",NA,NA,NA,NA,"","","","","","","","13","13","13","13","13","13","13","13","13","13","13","13","13","13","13","13"
"65","Amaporã","Leitos Hospitalares - SUS - Total ",NA,NA,NA,NA,"","","","","","","","13","13","13","13","13","13","13","13","13","13","13","13","13","13","13","13"
"66","Amaporã","Leitos Hospitalares - Não SUS - Total ",NA,NA,NA,NA,"","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"67","Ampére","Hospitalizações pelo SUS - Geral por Local de Residência - Número de Internações ",NA,NA,NA,NA,"1.415","1.377","1.410","1.406","1.363","1.374","1.410","1.408","1.373","1.401","1.359","1.246","1.494","1.317","1.546","1.576","1.595","1.741","1.770","1.916","2.244","1.901","1.705"
"68","Ampére","Hospitalizações pelo SUS - Geral por Local de Residência - Gastos Total com Internações (R$ 1,00)",NA,NA,NA,NA,"376.644,63","440.250,83","552.430,23","520.194,69","555.529,81","715.002,57","670.621,50","853.749,13","725.667,81","765.212,81","916.060,90","982.328,93","1.239.414,34","1.147.705,83","1.388.912,84","1.549.314,96","1.470.271,68","1.901.813,61","2.360.563,91","2.410.132,21","2.695.809,67","2.165.020,41","2.322.339,76"
"69","Ampére","Hospitalizações pelo SUS - Geral por Local de Residência - Taxa de Mortalidade nas Internações (%)",NA,NA,NA,NA,"0,78","0,94","1,06","1,07","1,17","1,6","1,63","1,21","1,24","1,93","1,69","1,61","2,41","2,96","3,43","3,36","2,57","3,62","2,82","2,14","1,92","2,47","2,93"
"70","Ampére","Leitos Hospitalares - Existente - Total ",NA,NA,NA,NA,"","","","","","","","43","43","72","72","72","73","72","29","29","34","34","34","34","34","34","34"
"71","Ampére","Leitos Hospitalares - SUS - Total ",NA,NA,NA,NA,"","","","","","","","43","43","72","72","71","61","67","25","25","34","34","34","33","33","33","33"
"72","Ampére","Leitos Hospitalares - Não SUS - Total ",NA,NA,NA,NA,"","","","","","","","0","0","0","0","1","12","5","4","4","0","0","0","1","1","1","1"
"73","Anahy","Hospitalizações pelo SUS - Geral por Local de Residência - Número de Internações ",NA,NA,NA,NA,"296","301","304","315","303","267","342","256","196","255","178","305","307","307","293","277","245","235","357","357","341","425","294"
"74","Anahy","Hospitalizações pelo SUS - Geral por Local de Residência - Gastos Total com Internações (R$ 1,00)",NA,NA,NA,NA,"86.610,34","109.614,23","121.555,24","142.082,99","130.795,28","135.721,83","159.258,40","151.472,84","142.380,75","169.669,79","137.198,33","212.764,50","233.502,13","282.693,31","317.189,86","321.984,98","284.060,07","276.464,26","391.205,24","457.151,37","417.826,03","425.518,35","415.624,47"
"75","Anahy","Hospitalizações pelo SUS - Geral por Local de Residência - Taxa de Mortalidade nas Internações (%)",NA,NA,NA,NA,"1,01","1,66","2,3","2,22","1,65","2,62","1,75","2,34","3,06","3,92","3,37","2,95","2,61","4,89","1,71","1,08","2,45","3,4","3,36","2,52","4,11","2,12","2,38"
"76","Anahy","Leitos Hospitalares - Existente - Total ",NA,NA,NA,NA,"","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"77","Anahy","Leitos Hospitalares - SUS - Total ",NA,NA,NA,NA,"","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"78","Anahy","Leitos Hospitalares - Não SUS - Total ",NA,NA,NA,NA,"","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"79","Andirá","Hospitalizações pelo SUS - Geral por Local de Residência - Número de Internações ",NA,NA,NA,NA,"2.027","2.013","2.020","1.923","1.887","1.848","1.710","1.726","1.808","1.680","1.712","1.648","1.856","1.883","1.815","1.591","1.514","1.763","1.580","1.541","1.577","1.722","1.363"
"80","Andirá","Hospitalizações pelo SUS - Geral por Local de Residência - Gastos Total com Internações (R$ 1,00)",NA,NA,NA,NA,"626.406,37","606.858,25","682.350,34","693.954,72","811.468,94","1.051.450,58","1.001.023,10","945.172,46","1.073.537,13","968.161,59","1.272.882,83","1.291.916,18","1.579.684,71","1.584.447,67","1.554.947,54","1.464.147,82","1.684.750,34","2.013.567,02","1.849.461,79","2.019.883,76","2.359.734,12","2.314.966,62","2.014.526,65"
"81","Andirá","Hospitalizações pelo SUS - Geral por Local de Residência - Taxa de Mortalidade nas Internações (%)",NA,NA,NA,NA,"2,22","1,74","2,82","1,98","2,38","2,92","2,81","3,01","3,1","3,33","2,98","4,13","4,36","3,56","4,08","4,21","4,36","5,05","5","4,67","5,33","4,82","6,09"
"82","Andirá","Leitos Hospitalares - Existente - Total ",NA,NA,NA,NA,"","","","","","","","88","88","88","88","88","88","88","88","88","88","62","62","62","62","62","62"
"83","Andirá","Leitos Hospitalares - SUS - Total ",NA,NA,NA,NA,"","","","","","","","86","86","86","86","86","86","86","86","86","86","57","57","57","57","57","57"
"84","Andirá","Leitos Hospitalares - Não SUS - Total ",NA,NA,NA,NA,"","","","","","","","2","2","2","2","2","2","2","2","2","2","5","5","5","5","5","5"
"85","Ângulo","Hospitalizações pelo SUS - Geral por Local de Residência - Número de Internações ",NA,NA,NA,NA,"210","292","220","278","394","270","290","284","259","239","219","253","199","175","182","177","233","235","219","228","237","313","282"
"86","Ângulo","Hospitalizações pelo SUS - Geral por Local de Residência - Gastos Total com Internações (R$ 1,00)",NA,NA,NA,NA,"53.588,27","90.783,21","84.827,88","114.102,07","182.834,45","125.006,66","204.198,77","162.876,74","163.756,98","121.929,20","260.033,81","231.094,58","234.727,74","218.356,63","217.143,69","170.817,98","380.201,17","359.300,55","388.906,43","299.985,19","330.081,51","479.962,39","410.960,50"
"87","Ângulo","Hospitalizações pelo SUS - Geral por Local de Residência - Taxa de Mortalidade nas Internações (%)",NA,NA,NA,NA,"1,43","1,37","1,36","1,8","1,02","2,59","2,41","1,76","3,09","2,09","4,11","4,74","7,04","5,14","4,4","3,95","1,72","2,55","4,57","4,82","3,38","3,83","4,96"
"88","Ângulo","Leitos Hospitalares - Existente - Total ",NA,NA,NA,NA,"","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"89","Ângulo","Leitos Hospitalares - SUS - Total ",NA,NA,NA,NA,"","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"90","Ângulo","Leitos Hospitalares - Não SUS - Total ",NA,NA,NA,NA,"","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"91","Antonina","Hospitalizações pelo SUS - Geral por Local de Residência - Número de Internações ",NA,NA,NA,NA,"2.138","2.001","1.666","1.458","1.407","1.610","1.237","1.154","1.491","1.499","1.350","1.249","1.290","1.395","1.387","1.281","1.311","1.149","1.371","1.666","1.520","1.498","941"
"92","Antonina","Hospitalizações pelo SUS - Geral por Local de Residência - Gastos Total com Internações (R$ 1,00)",NA,NA,NA,NA,"653.265,18","768.551,07","807.982,31","681.179,37","901.621,42","1.027.404,26","849.941,97","882.349,87","1.009.044,60","915.788,49","1.050.199,01","1.309.040,46","1.143.031,35","1.200.907,55","1.507.795,42","1.480.926,84","1.524.484,71","1.423.181,62","2.140.513,12","2.307.430,22","2.488.345,63","2.593.850,74","1.502.769,24"
"93","Antonina","Hospitalizações pelo SUS - Geral por Local de Residência - Taxa de Mortalidade nas Internações (%)",NA,NA,NA,NA,"2,15","1,85","2,28","2,06","3,06","2,98","2,91","3,21","3,49","2,87","2,44","3,04","3,33","3,37","4,25","4,37","5,57","4,61","5,4","4,26","5","4,54","4,99"
"94","Antonina","Leitos Hospitalares - Existente - Total ",NA,NA,NA,NA,"","","","","","","","20","47","47","47","26","26","19","31","31","31","31","31","31","31","31","31"
"95","Antonina","Leitos Hospitalares - SUS - Total ",NA,NA,NA,NA,"","","","","","","","20","19","19","19","19","19","19","31","31","31","31","31","31","31","31","31"
"96","Antonina","Leitos Hospitalares - Não SUS - Total ",NA,NA,NA,NA,"","","","","","","","0","28","28","28","7","7","0","0","0","0","0","0","0","0","0","0"
"97","Antônio Olinto","Hospitalizações pelo SUS - Geral por Local de Residência - Número de Internações ",NA,NA,NA,NA,"460","437","532","587","557","530","411","419","417","428","559","535","455","405","414","561","476","569","634","559","546","625","472"
"98","Antônio Olinto","Hospitalizações pelo SUS - Geral por Local de Residência - Gastos Total com Internações (R$ 1,00)",NA,NA,NA,NA,"155.493,74","164.734,90","254.396,02","244.288,97","298.107,48","432.846,89","344.439,78","301.380,86","291.379,92","277.849,50","443.443,87","533.523,63","500.195,88","435.878,00","521.741,14","736.557,01","661.236,56","821.341,39","838.190,67","688.410,93","776.389,54","956.113,09","610.464,55"
"99","Antônio Olinto","Hospitalizações pelo SUS - Geral por Local de Residência - Taxa de Mortalidade nas Internações (%)",NA,NA,NA,NA,"4,78","3,43","2,07","1,87","2,15","1,7","4,14","4,06","5,52","4,44","2,33","4,11","2,42","2,47","2,9","1,78","3,78","4,92","2,68","3,76","3,85","5,12","4,03"
"100","Antônio Olinto","Leitos Hospitalares - Existente - Total ",NA,NA,NA,NA,"","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","2","2","2","2"
"101","Antônio Olinto","Leitos Hospitalares - SUS - Total ",NA,NA,NA,NA,"","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","2","2","2","2"
"102","Antônio Olinto","Leitos Hospitalares - Não SUS - Total ",NA,NA,NA,NA,"","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"103","Apucarana","Hospitalizações pelo SUS - Geral por Local de Residência - Número de Internações ",NA,NA,NA,NA,"8.788","8.694","9.227","9.311","9.839","9.592","9.445","9.283","10.083","9.671","9.473","9.059","9.050","9.456","9.296","8.405","9.651","8.201","9.180","9.358","9.742","10.089","8.077"
"104","Apucarana","Hospitalizações pelo SUS - Geral por Local de Residência - Gastos Total com Internações (R$ 1,00)",NA,NA,NA,NA,"2.702.850,68","3.146.898,61","4.029.165,97","4.767.865,60","5.070.336,18","5.580.738,19","6.118.205,10","6.358.445,75","7.317.172,59","7.402.617,71","8.981.864,57","10.160.788,37","10.970.760,56","12.393.395,92","12.754.879,26","13.317.636,93","14.530.336,62","13.577.302,89","15.687.141,00","15.852.289,65","17.754.294,21","19.212.925,87","16.724.453,53"
"105","Apucarana","Hospitalizações pelo SUS - Geral por Local de Residência - Taxa de Mortalidade nas Internações (%)",NA,NA,NA,NA,"3,7","2,98","3,34","3,65","3,29","3,52","3,84","3,5","4,44","4,45","4,23","4,36","4,72","4,6","5,01","5,09","4,64","5,3","5,75","5,29","5,02","5,39","6,45"
"106","Apucarana","Leitos Hospitalares - Existente - Total ",NA,NA,NA,NA,"","","","","","","","231","206","208","231","231","231","231","235","235","235","235","235","235","228","228","262"
"107","Apucarana","Leitos Hospitalares - SUS - Total ",NA,NA,NA,NA,"","","","","","","","152","140","153","153","153","153","153","161","166","166","166","166","166","159","159","193"
"108","Apucarana","Leitos Hospitalares - Não SUS - Total ",NA,NA,NA,NA,"","","","","","","","79","66","55","78","78","78","78","74","69","69","69","69","69","69","69","69"
"109","Arapongas","Hospitalizações pelo SUS - Geral por Local de Residência - Número de Internações ",NA,NA,NA,NA,"6.714","6.933","6.913","7.133","6.743","6.585","6.666","6.653","6.586","6.776","7.428","7.772","8.096","8.451","8.558","8.180","8.251","7.932","8.800","8.576","9.949","10.030","8.175"
